ID,Description,NES,pvalue,p.adjust,GeneRatio,BgRatio,geneID,geneName,Count,BG,Study,Freq,total_study,celltype,regulators,-log10(Padj),Study_1,Study_2,Cell_line
BIOCARTA_RELA_PATHWAY,RELA PATHWAY,6.746805337,7.36E-05,0.006377799,Mar-97,15/17332,3551/5970/8772,IKBKB/RELA/FADD,3,15,2018_Science_Pan_B16_OT_I,8,18,Tcells,neg,2.195329151,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
REACTOME_5607764,CLEC7A (Dectin-1) signaling,9.334679817,8.54E-05,0.00691925,May-97,80/17332,5696/3551/5720/5970/5721,PSMB8/IKBKB/PSME1/RELA/PSME2,5,80,2018_Science_Pan_B16_OT_I,7,18,Tcells,neg,2.159940974,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
PID_PDGFRB_PATHWAY,PDGFRB PATHWAY,8.433965835,8.59E-05,0.00691925,Jun-97,129/17332,5771/3685/5781/10096/5894/7534,PTPN2/ITGAV/PTPN11/ACTR3/RAF1/YWHAZ,6,129,2018_Science_Pan_B16_OT_I,3,18,Tcells,neg,2.159940974,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_RESPONSE_TO_PEPTIDE_HORMONE,RESPONSE TO PEPTIDE HORMONE,11.9034044,8.76E-05,0.00691925,Oct-97,404/17332,5970/1385/5771/10014/5781/8837/10135/5588/6513/7249,RELA/CREB1/PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/PRKCQ/SLC2A1/TSC2,10,404,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,2.159940974,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_RESPONSE_TO_INSULIN,RESPONSE TO INSULIN,10.03309524,0.000108059,0.008289633,Aug-97,261/17332,5771/10014/5781/8837/10135/5588/6513/7249,PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/PRKCQ/SLC2A1/TSC2,8,261,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,2.081464673,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_RESPONSE_TO_STARVATION,RESPONSE TO STARVATION,8.953552724,0.000115628,0.008623922,Jul-97,196/17332,10641/9474/10670/440275/8131/8678/6513,NPRL2/ATG5/RRAGA/EIF2AK4/NPRL3/BECN1/SLC2A1,7,196,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,2.064295195,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
BIOCARTA_KERATINOCYTE_PATHWAY,KERATINOCYTE PATHWAY,7.179364719,0.000125621,0.009115984,Apr-97,46/17332,3551/5970/5588/5894,IKBKB/RELA/PRKCQ/RAF1,4,46,2018_Science_Pan_B16_OT_I,6,18,Tcells,neg,2.040196428,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
REACTOME_9020702,Interleukin-1 signaling,9.334679817,0.000134304,0.009412653,May-97,88/17332,5696/3551/5720/5970/5721,PSMB8/IKBKB/PSME1/RELA/PSME2,5,88,2018_Science_Pan_B16_OT_I,7,18,Tcells,neg,2.026287934,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
PID_LKB1_PATHWAY,LKB1 PATHWAY,6.484402214,0.00013672,0.009412653,Apr-97,47/17332,1385/92335/7534/7249,CREB1/STRADA/YWHAZ/TSC2,4,47,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,2.026287934,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,"CELLULAR RESPONSE TO INSULIN 
STIMULUS",9.385159881,0.000162161,0.010885073,Jul-97,207/17332,5771/10014/5781/8837/10135/5588/7249,PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/PRKCQ/TSC2,7,207,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,1.963168648,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY,"NEGATIVE REGULATION OF TYPE 
I INTERFERON MEDIATED SIGNALING 
PATHWAY",5.909093117,0.000180783,0.011839087,Mar-97,20/17332,11274/5771/11277,USP18/PTPN2/TREX1,3,20,2018_Science_Pan_B16_OT_I,8,18,Tcells,neg,1.92668179,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS,"HOMEOSTASIS OF NUMBER OF 
CELLS",10.65989165,0.000188337,0.012040135,Aug-97,283/17332,8772/5771/6659/10296/5781/23210/2821/28996,FADD/PTPN2/SOX4/MAEA/PTPN11/JMJD6/GPI/HIPK2,8,283,2018_Science_Pan_B16_OT_I,3,18,Tcells,neg,1.919368632,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,"NEGATIVE REGULATION OF PROTEIN 
MODIFICATION BY SMALL PROTEIN 
CONJUGATION OR REMOVAL",7.774522301,0.000202296,0.012261044,May-97,96/17332,5970/6659/9474/151636/1020,RELA/SOX4/ATG5/DTX3L/CDK5,5,96,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,1.911472534,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_APOPTOTIC_CELL_CLEARANCE,APOPTOTIC CELL CLEARANCE,6.461428247,0.000203126,0.012261044,Apr-97,52/17332,3685/23210/11277/8678,ITGAV/JMJD6/TREX1/BECN1,4,52,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,1.911472534,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
BIOCARTA_CERAMIDE_PATHWAY,CERAMIDE PATHWAY,6.179738604,0.000210059,0.012261044,Mar-97,21/17332,5970/8772/5894,RELA/FADD/RAF1,3,21,2018_Science_Pan_B16_OT_I,9,18,Tcells,neg,1.911472534,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
BIOCARTA_NFKB_PATHWAY,NFKB PATHWAY,6.746805337,0.000210059,0.012261044,Mar-97,21/17332,3551/5970/8772,IKBKB/RELA/FADD,3,21,2018_Science_Pan_B16_OT_I,12,18,Tcells,neg,1.911472534,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,DEFENSE RESPONSE TO SYMBIONT,10.11144479,0.000227588,0.013001559,Aug-97,291/17332,5970/8772/9474/440275/3659/151636/11277/8678,RELA/FADD/ATG5/EIF2AK4/IRF1/DTX3L/TREX1/BECN1,8,291,2018_Science_Pan_B16_OT_I,7,18,Tcells,neg,1.886004576,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,"CELLULAR RESPONSE TO PEPTIDE 
HORMONE STIMULUS",10.39872648,0.000243937,0.013645221,Aug-97,294/17332,5970/5771/10014/5781/8837/10135/5588/7249,RELA/PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/PRKCQ/TSC2,8,294,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,1.865019418,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa04625,"C-type lectin receptor signaling 
pathway",8.100211749,0.000293834,0.015994764,May-97,104/17332,3551/5970/5781/3659/5894,IKBKB/RELA/PTPN11/IRF1/RAF1,5,104,2018_Science_Pan_B16_OT_I,4,18,Tcells,neg,1.796022161,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa05161,Hepatitis B,9.356964991,0.000297854,0.015994764,Jun-97,162/17332,3551/5970/8772/1385/5894/7534,IKBKB/RELA/FADD/CREB1/RAF1/YWHAZ,6,162,2018_Science_Pan_B16_OT_I,7,18,Tcells,neg,1.796022161,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_RESPONSE_TO_MUSCLE_STRETCH,RESPONSE TO MUSCLE STRETCH,5.831765836,0.0003158,0.016368303,Mar-97,24/17332,5970/2821/5894,RELA/GPI/RAF1,3,24,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,1.785996348,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,"REGULATION OF CYSTEINE TYPE 
ENDOPEPTIDASE ACTIVITY",9.536681543,0.000325281,0.016368303,Jul-97,232/17332,8772/5272/51024/8837/2821/5894/23787,FADD/SERPINB9/FIS1/CFLAR/GPI/RAF1/MTCH1,7,232,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,1.785996348,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,ANTIGEN PROCESSING AND PRESENTATION,8.714819255,0.000335221,0.016368303,May-97,107/17332,5696/3551/5720/9474/11277,PSMB8/IKBKB/PSME1/ATG5/TREX1,5,107,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,1.785996348,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_RESPONSE_TO_VIRUS,RESPONSE TO VIRUS,11.12852973,0.000343046,0.016368303,Sep-97,391/17332,3551/5970/8772/9474/440275/3659/151636/11277/8678,IKBKB/RELA/FADD/ATG5/EIF2AK4/IRF1/DTX3L/TREX1/BECN1,9,391,2018_Science_Pan_B16_OT_I,7,18,Tcells,neg,1.785996348,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_MACROAUTOPHAGY,MACROAUTOPHAGY,9.467237376,0.000348249,0.016368303,Aug-97,310/17332,9474/51510/57724/55072/9525/8678/1020/7249,ATG5/CHMP5/EPG5/RNF31/VPS4B/BECN1/CDK5/TSC2,8,310,2018_Science_Pan_B16_OT_I,13,18,Tcells,neg,1.785996348,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_AUTOPHAGOSOME_MATURATION,AUTOPHAGOSOME MATURATION,6.381019362,0.00035358,0.016368303,Apr-97,60/17332,9474/51510/57724/8678,ATG5/CHMP5/EPG5/BECN1,4,60,2018_Science_Pan_B16_OT_I,5,18,Tcells,neg,1.785996348,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
PID_FCER1_PATHWAY,FCER1 PATHWAY,7.294234554,0.00035358,0.016368303,Apr-97,60/17332,3551/5970/5781/5894,IKBKB/RELA/PTPN11/RAF1,4,60,2018_Science_Pan_B16_OT_I,5,18,Tcells,neg,1.785996348,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
REACTOME_5607761,"Dectin-1 mediated noncanonical NF-kB 
signaling",8.15575832,0.00035358,0.016368303,Apr-97,60/17332,5696/5720/5970/5721,PSMB8/PSME1/RELA/PSME2,4,60,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,1.785996348,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
BIOCARTA_RACCYCD_PATHWAY,RACCYCD PATHWAY,6.257065885,0.000402394,0.01831232,Mar-97,26/17332,3551/5970/5894,IKBKB/RELA/RAF1,3,26,2018_Science_Pan_B16_OT_I,6,18,Tcells,neg,1.737256629,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION,"NEGATIVE REGULATION OF LIPID 
LOCALIZATION",7.012803457,0.000426415,0.018929389,Apr-97,63/17332,5771/3685/5781/51024,PTPN2/ITGAV/PTPN11/FIS1,4,63,2018_Science_Pan_B16_OT_I,2,18,Tcells,neg,1.722863402,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,"NEGATIVE REGULATION OF RESPONSE 
TO BIOTIC STIMULUS",7.953126192,0.00043109,0.018929389,May-97,113/17332,11274/5771/5272/9474/11277,USP18/PTPN2/SERPINB9/ATG5/TREX1,5,113,2018_Science_Pan_B16_OT_I,9,18,Tcells,neg,1.722863402,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS,"CELLULAR RESPONSE TO EXTRACELLULAR 
STIMULUS",8.953552724,0.000451428,0.018929389,Jul-97,245/17332,10641/9474/10670/440275/8131/8678/6513,NPRL2/ATG5/RRAGA/EIF2AK4/NPRL3/BECN1/SLC2A1,7,245,2018_Science_Pan_B16_OT_I,3,18,Tcells,neg,1.722863402,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,PROTEIN CONTAINING COMPLEX DISASSEMBLY,8.994876814,0.000451428,0.018929389,Jul-97,245/17332,196528/9474/51510/57724/8289/9525/8678,ARID2/ATG5/CHMP5/EPG5/ARID1A/VPS4B/BECN1,7,245,2018_Science_Pan_B16_OT_I,5,18,Tcells,neg,1.722863402,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_REGULATION_OF_LYSOSOME_ORGANIZATION,REGULATION OF LYSOSOME ORGANIZATION,4.001491736,0.000458253,0.018929389,Feb-97,6/17332,11277/8678,TREX1/BECN1,2,6,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,1.722863402,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_RESPONSE_TO_IRON_II_ION,"RESPONSE TO IRON II 
ION",4.168220558,0.000458253,0.018929389,Feb-97,6/17332,9474/8678,ATG5/BECN1,2,6,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,1.722863402,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_RECEPTOR_CATABOLIC_PROCESS,RECEPTOR CATABOLIC PROCESS,5.090712718,0.000502921,0.020154376,Mar-97,28/17332,151636/8678/1020,DTX3L/BECN1/CDK5,3,28,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,1.695630635,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
PID_TRAIL_PATHWAY,TRAIL PATHWAY,6.44394015,0.000502921,0.020154376,Mar-97,28/17332,3551/8772/8837,IKBKB/FADD/CFLAR,3,28,2018_Science_Pan_B16_OT_I,11,18,Tcells,neg,1.695630635,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
KEGG_hsa05165,Human papillomavirus infection,10.83400176,0.00053777,0.020706557,Aug-97,331/17332,3551/5970/8772/1385/3685/3659/5894/7249,IKBKB/RELA/FADD/CREB1/ITGAV/IRF1/RAF1/TSC2,8,331,2018_Science_Pan_B16_OT_I,5,18,Tcells,neg,1.6838921,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,"REGULATION OF CELLULAR RESPONSE 
TO INSULIN STIMULUS",6.656706967,0.00053941,0.020706557,Apr-97,67/17332,5771/5781/5588/7249,PTPN2/PTPN11/PRKCQ/TSC2,4,67,2018_Science_Pan_B16_OT_I,1,18,Tcells,neg,1.6838921,2018_Science_Pan_B16_OT_I,2018_Science_Pan_OT_I,Melanoma
