id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CYB5RL	4	0.00025144	0.00095692	0.243526	75	3	-4.9841	0.7324	0.73425	1.0	13710	1	-4.9841
MLST8	4	0.00025493	0.00096714	0.243526	76	4	-6.6727	0.99217	0.99218	1.0	19094	0	-6.6727
PSMD1	4	0.00025866	0.00098095	0.243526	77	4	-6.9375	0.96697	0.9672	1.0	18238	0	-6.9375
ARPC4-TTLL3	4	0.00025866	0.00098095	0.243526	78	3	-7.4996	0.90326	0.9035	1.0	17139	0	-7.4996
SLC30A1	4	0.00026507	0.0010055	0.246459	79	3	-7.1062	0.79163	0.79191	1.0	14826	0	-7.1062
B2M	4	0.00028406	0.0010796	0.261324	80	4	-6.4782	0.94529	0.94556	1.0	18005	0	-6.4782
SWAP70	4	0.00028845	0.0010991	0.262743	81	3	-7.8433	0.66163	0.67536	1.0	12580	1	-7.8433
MAP4K5	4	0.00029385	0.001121	0.264731	82	2	-4.6895	0.63865	0.65835	1.0	12219	1	-4.6895
RAB35	4	0.00032353	0.0012223	0.279818	83	3	-7.6483	0.92691	0.92718	1.0	17646	0	-7.6483
TOMM20	4	0.00032873	0.0012427	0.279818	84	4	-5.2756	0.99967	0.99967	1.0	19323	0	-5.2756
CTDSPL2	4	0.00032873	0.0012427	0.279818	85	4	-5.8485	0.99967	0.99967	1.0	19325	0	-5.8485
DONSON	4	0.00032873	0.0012427	0.279818	86	4	-4.2296	0.99967	0.99967	1.0	19324	0	-4.2296
CNOT4	4	0.00034673	0.0013036	0.290145	87	3	-6.7411	0.9086	0.9089	1.0	17252	0	-6.7411
SOD1	4	0.00035462	0.0013363	0.294048	88	4	-6.6699	0.99965	0.99965	1.0	19322	0	-6.6699
METTL11B	4	0.00036778	0.0013864	0.29808	89	4	-5.3277	0.93803	0.93826	1.0	17865	0	-5.3277
TTC26	4	0.00036809	0.001389	0.29808	90	4	-5.1754	0.99963	0.99963	1.0	19321	0	-5.1754
ATXN2L	4	0.00037623	0.0014191	0.29808	91	3	-7.7855	0.90093	0.9012	1.0	17093	0	-7.7855
HSPB9	4	0.00038243	0.0014411	0.29808	92	3	-6.3991	0.80919	0.80953	1.0	15193	0	-6.3991
PDIA3	4	0.00038576	0.0014544	0.29808	93	3	-7.4644	0.89186	0.89204	1.0	16915	0	-7.4644
AKAP8L	4	0.00038927	0.0014657	0.29808	94	4	-6.7769	0.9909	0.99092	1.0	19061	0	-6.7769
TMEM82	4	0.00039635	0.0014866	0.29808	95	4	-6.8911	0.98763	0.98764	1.0	18978	0	-6.8911
FBXO34	4	0.0003984	0.0014948	0.29808	96	4	-6.6926	0.99737	0.99737	1.0	19240	0	-6.6926
CPSF7	4	0.00040418	0.0015132	0.29808	97	3	-6.4799	0.23226	0.35624	1.0	6654	1	-6.4799
TRIM42	4	0.00040418	0.0015132	0.29808	98	4	-7.4317	0.97725	0.97742	1.0	18736	0	-7.4317
TASP1	4	0.00040627	0.001524	0.29808	99	4	-6.6848	0.99959	0.99959	1.0	19320	0	-6.6848
GABARAPL2	4	0.00042554	0.0016099	0.311733	100	4	-6.6458	0.98955	0.98955	1.0	19023	0	-6.6458
RDH11	4	0.00044656	0.0016896	0.323939	101	4	-5.8834	0.99955	0.99955	1.0	19319	0	-5.8834
DDX46	4	0.00045132	0.0017111	0.32484	102	4	-6.9134	0.96697	0.9672	1.0	18461	0	-6.9134
CTNNBL1	4	0.00046326	0.0017622	0.331299	103	3	-5.5265	0.84873	0.84909	1.0	16000	0	-5.5265
ZNF879	4	0.00046866	0.0017893	0.333159	104	3	-5.895	0.90255	0.90282	1.0	17121	0	-5.895
NCS1	4	0.00048301	0.001843	0.336774	105	4	-3.9557	0.99952	0.99952	1.0	19316	0	-3.9557
RAVER1	4	0.00048318	0.0018435	0.336774	106	4	-3.7592	0.99952	0.99952	1.0	19315	0	-3.7592
HNRNPM	4	0.00050335	0.0019248	0.348339	107	4	-4.4776	0.9995	0.99951	1.0	19314	0	-4.4776
TAS2R60	4	0.00051684	0.0019698	0.34919	108	3	-7.1495	0.27265	0.40183	1.0	7441	1	-7.1495
TP53TG3B	4	0.00052129	0.0019836	0.34919	109	4	-5.2915	0.99948	0.99949	1.0	19313	0	-5.2915
PPP3R1	4	0.00052147	0.0019836	0.34919	110	4	-6.8388	0.99948	0.99949	1.0	19312	0	-6.8388
IRF2	4	0.00053795	0.0020409	0.354358	111	4	-7.1902	0.98137	0.98156	1.0	18835	0	-7.1902
ZBBX	4	0.00054018	0.0020496	0.354358	112	3	-6.8194	0.68001	0.68962	1.0	12849	1	-6.8194
IRF8	4	0.0005491	0.0020859	0.357261	113	4	-6.0161	0.99945	0.99946	1.0	19311	0	-6.0161
VHL	4	0.00055259	0.0021033	0.357261	114	3	-4.7964	0.88258	0.88287	1.0	16718	0	-4.7964
MPLKIP	4	0.0005696	0.0021667	0.363477	115	4	-6.777	0.96697	0.9672	1.0	18576	0	-6.777
EXOC6	4	0.00057333	0.0021774	0.363477	116	3	-5.1942	0.60528	0.63498	1.0	11774	1	-5.1942
HNRNPH1	4	0.00058158	0.0022081	0.364298	117	3	-5.9772	0.57754	0.61674	1.0	11433	1	-5.9772
LPPR2	4	0.00058762	0.0022306	0.364298	118	3	-4.7814	0.43832	0.53627	1.0	9899	1	-4.7814
NOVA1	4	0.00059001	0.0022388	0.364298	119	3	-6.7754	0.5009	0.57038	1.0	10523	1	-6.7754
CDK12	4	0.00060205	0.0022879	0.369183	120	4	-5.6397	0.9994	0.99941	1.0	19310	0	-5.6397
ARHGAP11A	4	0.00062296	0.0023635	0.373283	121	4	-3.8587	0.99938	0.99939	1.0	19309	0	-3.8587
NOL12	4	0.00062387	0.0023681	0.373283	122	4	-7.1003	0.99751	0.99751	1.0	19246	0	-7.1003
DBR1	4	0.00062605	0.0023748	0.373283	123	4	-4.7628	0.96697	0.9672	1.0	18451	0	-4.7628
PHOSPHO2-KLHL23	4	0.0006455	0.0024346	0.373283	124	4	-1.5366	0.98044	0.98066	1.0	18814	0	-1.5366
AMD1	4	0.00064773	0.0024418	0.373283	125	4	-6.6653	0.96697	0.9672	1.0	18536	0	-6.6653
FPR1	4	0.00065604	0.0024719	0.373283	126	3	-7.3976	0.031869	0.080409	0.879374	1770	1	-7.3976
OSTM1	4	0.00065662	0.0024724	0.373283	127	4	-3.8506	0.99934	0.99935	1.0	19308	0	-3.8506
PRSS54	4	0.00065725	0.002475	0.373283	128	4	-3.0579	0.99934	0.99935	1.0	19307	0	-3.0579
TMEM79	4	0.00066065	0.0024868	0.373283	129	4	-4.3218	0.99934	0.99935	1.0	19306	0	-4.3218
MKL1	4	0.00069712	0.0026074	0.385951	130	3	-1.4149	0.85947	0.85983	1.0	16226	0	-1.4149
HMGCS2	4	0.00069989	0.0026171	0.385951	131	3	-5.1014	0.090432	0.19398	0.969154	3874	1	-5.1014
MRGPRX3	4	0.00070382	0.0026309	0.385951	132	4	-4.1	0.9993	0.99931	1.0	19305	0	-4.1
CMPK1	4	0.00071404	0.0026632	0.387739	133	4	-5.746	0.96697	0.9672	1.0	18466	0	-5.746
GNG5	4	0.00072265	0.0026892	0.387995	134	4	-6.3907	0.99662	0.99664	1.0	19207	0	-6.3907
KDM6A	4	0.00073259	0.0027225	0.387995	135	4	-4.0061	0.99927	0.99928	1.0	19304	0	-4.0061
CNOT10	4	0.00073326	0.002725	0.387995	136	4	-5.2918	0.96697	0.9672	1.0	18463	0	-5.2918
RBM25	4	0.00074966	0.0027802	0.388382	137	3	-5.7937	0.92494	0.92521	1.0	17602	0	-5.7937
COQ5	4	0.00074966	0.0027802	0.388382	138	4	-6.2886	0.99355	0.99355	1.0	19119	0	-6.2886
TGS1	4	0.00075194	0.0027879	0.388382	139	3	-5.9794	0.54391	0.59556	1.0	11021	1	-5.9794
NCAPD3	4	0.00077345	0.0028661	0.396429	140	3	-4.7052	0.21452	0.33611	1.0	6287	1	-4.7052
SMARCA5	4	0.00078439	0.0029045	0.398884	141	4	-5.7104	0.99921	0.99922	1.0	19303	0	-5.7104
EIF3K	4	0.00080037	0.0029566	0.403186	142	4	-4.8449	0.99781	0.99782	1.0	19252	0	-4.8449
CXorf66	4	0.00081202	0.0029863	0.404383	143	2	-4.5077	0.38307	0.50847	1.0	9402	1	-4.5077
MGA	4	0.00083885	0.0030794	0.41357	144	4	-5.5476	0.98836	0.98837	1.0	18996	0	-5.5476
ARID1A	4	0.00084785	0.0031111	0.41357	145	4	-4.8503	0.99915	0.99916	1.0	19301	0	-4.8503
PDCL	4	0.00085003	0.0031182	0.41357	146	3	-6.699	0.92813	0.9284	1.0	17669	0	-6.699
USF2	4	0.00086023	0.003155	0.415606	147	3	-6.1498	0.48407	0.56095	1.0	10351	1	-6.1498
BHLHB9	4	0.00087354	0.0032016	0.418885	148	4	-3.5961	0.99913	0.99913	1.0	19300	0	-3.5961
CELF3	4	0.00090089	0.0032982	0.426634	149	4	-3.7935	0.9991	0.9991	1.0	19299	0	-3.7935
CKMT2	4	0.00090361	0.0033048	0.426634	150	1	-0.12409	0.82427	0.82467	1.0	15490	0	-0.12409
PPA1	4	0.00091664	0.0033529	0.429972	151	3	-5.7282	0.28554	0.41643	1.0	7712	1	-5.7282
TNPO1	4	0.00095335	0.0034802	0.439051	152	4	-5.0519	0.96697	0.9672	1.0	18427	0	-5.0519
RASD2	4	0.00096899	0.0035324	0.439051	153	3	-6.413	0.14055	0.25175	1.0	4874	1	-6.413
COPG2	4	0.00097074	0.0035385	0.439051	154	4	-6.0826	0.99606	0.99606	1.0	19188	0	-6.0826
SLC7A3	4	0.00097265	0.0035452	0.439051	155	2	-4.6652	0.76149	0.76165	1.0	14251	1	-4.6652
CSNK2B	4	0.00097366	0.0035487	0.439051	156	3	-6.325	0.66606	0.67879	1.0	12650	1	-6.325
PDCD5	4	0.00098186	0.003582	0.439051	157	3	-5.8773	0.35644	0.49573	1.0	9173	1	-5.8773
DPH6	4	0.0009917	0.0036101	0.439051	158	4	-3.362	0.99901	0.99901	1.0	19298	0	-3.362
RPIA	4	0.0010068	0.0036648	0.439051	159	3	-0.41033	0.33001	0.46675	1.0	8636	1	-0.41033
TRPV4	4	0.0010118	0.0036853	0.439051	160	4	-3.8312	0.99899	0.99899	1.0	19297	0	-3.8312
DXO	4	0.0010169	0.0037026	0.439051	161	4	-5.3057	0.98985	0.98985	1.0	19032	0	-5.3057
CPSF1	4	0.0010169	0.0037026	0.439051	162	3	-6.5505	0.6061	0.63555	1.0	11789	1	-6.5505
KMT2D	4	0.0010221	0.003719	0.439051	163	4	-5.6768	0.99898	0.99898	1.0	19296	0	-5.6768
NCOR1	4	0.0010283	0.0037354	0.439051	164	4	-5.0267	0.99897	0.99898	1.0	19295	0	-5.0267
NFKB2	4	0.0010357	0.0037691	0.439051	165	4	-3.1091	0.99896	0.99897	1.0	19294	0	-3.1091
NSD1	4	0.0010436	0.0037983	0.439051	166	4	-6.9361	0.99454	0.99455	1.0	19144	0	-6.9361
AGTR1	4	0.0010437	0.0037988	0.439051	167	3	-5.5408	0.89614	0.89637	1.0	17001	0	-5.5408
SMIM4	4	0.0010517	0.0038361	0.439051	168	3	-5.0591	0.28919	0.4206	1.0	7805	1	-5.0591
RPTOR	4	0.0010562	0.0038545	0.439051	169	3	-5.6348	0.45024	0.54258	1.0	10022	1	-5.6348
HINT1	4	0.0010562	0.0038545	0.439051	170	4	-6.0519	0.95477	0.95499	1.0	18174	0	-6.0519
ZFX	4	0.0010689	0.0038959	0.441173	171	4	-5.3262	0.99893	0.99894	1.0	19291	0	-5.3262
ZBTB39	4	0.0011079	0.004035	0.452384	172	3	-5.4787	0.22629	0.34951	1.0	6539	1	-5.4787
FAM9B	4	0.0011101	0.0040416	0.452384	173	3	-3.7287	0.90885	0.90916	1.0	17262	0	-3.7287
ARG1	4	0.001124	0.0040856	0.454677	174	4	-4.4341	0.99888	0.99888	1.0	19290	0	-4.4341
ARHGEF6	4	0.001137	0.0041301	0.457001	175	3	-4.9327	0.41193	0.52284	1.0	9664	1	-4.9327
GPR35	4	0.0011617	0.0042267	0.46075	176	3	-1.9552	0.8682	0.86849	1.0	16414	0	-1.9552
OGT	4	0.001176	0.0042763	0.46075	177	3	-6.5161	0.78754	0.78783	1.0	14751	0	-6.5161
C1orf234	4	0.0011824	0.0042973	0.46075	178	4	-5.7822	0.99712	0.99711	1.0	19227	0	-5.7822
TBX10	4	0.0011826	0.0042973	0.46075	179	4	-6.5271	0.94276	0.94305	1.0	17957	0	-6.5271
ZNF330	4	0.0011924	0.0043275	0.46075	180	4	-3.3779	0.99881	0.99881	1.0	19289	0	-3.3779
WRAP53	4	0.0011931	0.0043305	0.46075	181	3	-6.9892	0.86198	0.86234	1.0	16282	0	-6.9892
PPP1R8	4	0.0011931	0.0043305	0.46075	182	2	-4.5928	0.37329	0.50371	1.0	9315	1	-4.5928
CKS2	4	0.0012175	0.0044313	0.46889	183	3	-5.8808	0.068834	0.15549	0.95485	3147	1	-5.8808
FLVCR1	4	0.0012475	0.0045437	0.47597	184	3	-5.2347	0.51375	0.57777	1.0	10679	1	-5.2347
NPAT	4	0.0012484	0.0045473	0.47597	185	2	-4.5439	0.89221	0.89239	1.0	16929	0	-4.5439
NKAP	4	0.0012588	0.0045882	0.47767	186	4	-5.5301	0.96697	0.9672	1.0	18597	0	-5.5301
BST2	4	0.0012715	0.0046348	0.479933	187	4	-3.9748	0.99873	0.99873	1.0	19288	0	-3.9748
EIF3H	4	0.001283	0.0046844	0.482453	188	4	-3.3167	0.99872	0.99872	1.0	19287	0	-3.3167
TBL1XR1	4	0.0013027	0.0047529	0.482453	189	4	-5.7701	0.9968	0.99681	1.0	19214	0	-5.7701
MOCOS	4	0.0013038	0.0047565	0.482453	190	4	-4.2293	0.9987	0.9987	1.0	19286	0	-4.2293
RNF219	4	0.0013052	0.0047588	0.482453	191	4	-3.7785	0.99869	0.9987	1.0	19285	0	-3.7785
SHANK1	4	0.0013271	0.0048418	0.48579	192	3	-4.6952	0.57594	0.61573	1.0	11410	1	-4.6952
RBM28	4	0.0013271	0.0048418	0.48579	193	4	-5.2617	0.99732	0.99732	1.0	19236	0	-5.2617
BHLHA15	4	0.0013651	0.0049646	0.490124	194	4	-2.8938	0.99863	0.99863	1.0	19284	0	-2.8938
CD63	4	0.0013681	0.0049784	0.490124	195	1	-0.39189	0.88562	0.88585	1.0	16779	0	-0.39189
ZC3H10	4	0.0013714	0.0049896	0.490124	196	4	-2.8721	0.99863	0.99862	1.0	19283	0	-2.8721
SGPP1	4	0.0013921	0.0050581	0.490124	197	4	-2.9867	0.99861	0.99861	1.0	19282	0	-2.9867
ARID4A	4	0.001394	0.0050607	0.490124	198	4	-5.767	0.99861	0.99861	1.0	19281	0	-5.767
CRIP3	4	0.0013951	0.0050622	0.490124	199	3	-5.1745	0.1337	0.2439	0.996591	4739	1	-5.1745
DHX8	4	0.0013951	0.0050622	0.490124	200	3	-6.0313	0.45024	0.54258	1.0	10011	1	-6.0313
ADAP2	4	0.0014159	0.0051256	0.493793	201	3	-5.663	0.31975	0.4551	1.0	8419	1	-5.663
RBM42	4	0.0014263	0.0051619	0.494186	202	4	-4.6406	0.99857	0.99857	1.0	19280	0	-4.6406
ZNF654	4	0.0014377	0.005212	0.494186	203	4	-6.5259	0.99008	0.99009	1.0	19040	0	-6.5259
ATP6V1C2	4	0.0014465	0.0052458	0.494186	204	4	-3.169	0.99855	0.99855	1.0	19279	0	-3.169
EXOC5	4	0.0014505	0.0052575	0.494186	205	4	-4.8939	0.99855	0.99855	1.0	19278	0	-4.8939
FIBP	4	0.0014545	0.0052673	0.494186	206	3	-5.4803	0.51813	0.58033	1.0	10735	1	-5.4803
AREL1	4	0.0014619	0.0052908	0.494186	207	3	-5.2	0.79215	0.79243	1.0	14841	0	-5.2
VAMP5	4	0.0014738	0.0053337	0.494186	208	4	-5.0637	0.99568	0.99566	1.0	19175	0	-5.0637
ZCCHC8	4	0.0014794	0.0053496	0.494186	209	4	-5.6314	0.97702	0.9772	1.0	18730	0	-5.6314
KLK14	4	0.0014865	0.00537	0.494186	210	3	-5.3162	0.39659	0.51511	1.0	9519	1	-5.3162
ZCCHC7	4	0.0014911	0.0053941	0.494186	211	4	-5.5174	0.99664	0.99665	1.0	19208	0	-5.5174
WHSC1L1	4	0.0014965	0.0054104	0.494186	212	4	-4.9919	0.9985	0.99851	1.0	19277	0	-4.9919
NR1H3	4	0.0015229	0.0055081	0.500691	213	3	-4.3028	0.89373	0.89388	1.0	16959	0	-4.3028
C16orf47	4	0.001533	0.0055413	0.500691	214	4	-2.846	0.99847	0.99848	1.0	19276	0	-2.846
AMH	4	0.0015471	0.0055909	0.500691	215	4	-2.4894	0.99845	0.99847	1.0	19275	0	-2.4894
SPOP	4	0.0015602	0.0056405	0.500691	216	3	-4.7485	0.61866	0.64421	1.0	11950	1	-4.7485
NUFIP2	4	0.0015663	0.005664	0.500691	217	4	-5.3935	0.98012	0.98032	1.0	18806	0	-5.3935
MLXIP	4	0.0015692	0.0056737	0.500691	218	4	-4.6475	0.96697	0.9672	1.0	18574	0	-4.6475
EIF4A2	4	0.0015745	0.0056911	0.500691	219	4	-5.3173	0.99018	0.9902	1.0	19045	0	-5.3173
SLC9A3	4	0.0015747	0.0056911	0.500691	220	4	-2.8914	0.99843	0.99844	1.0	19274	0	-2.8914
MBNL1	4	0.0015823	0.0057182	0.500691	221	3	-5.0645	0.40545	0.51962	1.0	9599	1	-5.0645
DZIP1L	4	0.001589	0.0057402	0.500691	222	4	-4.8895	0.99841	0.99843	1.0	19273	0	-4.8895
PKD2	4	0.0016084	0.0058113	0.503426	223	4	-2.8294	0.99839	0.99841	1.0	19272	0	-2.8294
LGI1	4	0.0016115	0.0058236	0.503426	224	3	-5.1436	0.26327	0.39122	1.0	7250	1	-5.1436
BCL7A	4	0.0016261	0.005868	0.505017	225	2	0.51295	0.19507	0.31395	1.0	5914	2	0.51295
CTNNA3	4	0.0016532	0.005978	0.512201	226	3	-5.0669	0.92339	0.92371	1.0	17578	0	-5.0669
CIART	4	0.0016784	0.0060639	0.517272	227	4	-4.6401	0.99832	0.99834	1.0	19270	0	-4.6401
HSD17B2	4	0.0017231	0.0062193	0.523445	228	2	-4.233	0.30564	0.43915	1.0	8129	1	-4.233
ATF2	4	0.0017279	0.0062398	0.523445	229	3	-5.4149	0.62198	0.64656	1.0	11994	1	-5.4149
