"ID","Description","NES","pvalue","p.adjust","GeneRatio","BgRatio","geneID","geneName","Count","BG","Study","Freq","total_study","celltype","regulators","-log10(Padj)"
"PID_IGF1_PATHWAY","IGF1 PATHWAY",6.51311967283319,1.9664773637401e-05,0.00479999247422014,"4/97","29/17332","1399/5781/5894/7534","CRKL/PTPN11/RAF1/YWHAZ",4,29,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",2.31875944354259
"KEGG_hsa04150","mTOR signaling pathway",9.27037074368097,2.61644316069781e-05,0.00489064997866187,"7/97","155/17332","3551/10641/10670/92335/5894/8131/7249","IKBKB/NPRL2/RRAGA/STRADA/RAF1/NPRL3/TSC2",7,155,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",2.31063341830227
"KEGG_hsa05160","Hepatitis C",9.86727425862824,2.84129721446369e-05,0.00489064997866187,"7/97","157/17332","3551/5970/8772/8837/440275/5894/7534","IKBKB/RELA/FADD/CFLAR/EIF2AK4/RAF1/YWHAZ",7,157,"2018_Science_Pan_B16_OT_I",11,18,"Tcells","neg",2.31063341830227
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON","RESPONSE TO TYPE I INTERFERON
",8.20001980534856,2.90559148002272e-05,0.00489064997866187,"5/97","64/17332","8772/11274/5771/5781/11277","FADD/USP18/PTPN2/PTPN11/TREX1",5,64,"2018_Science_Pan_B16_OT_I",9,18,"Tcells","neg",2.31063341830227
"GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY","TUMOR NECROSIS FACTOR MEDIATED SIGNALING
 PATHWAY",9.44975326635686,3.01312520152438e-05,0.00489064997866187,"6/97","107/17332","90268/3551/5970/5771/10670/3611","OTULIN/IKBKB/RELA/PTPN2/RRAGA/ILK",6,107,"2018_Science_Pan_B16_OT_I",8,18,"Tcells","neg",2.31063341830227
"KEGG_hsa04931","Insulin resistance",9.18603922171434,3.17607604016513e-05,0.00489064997866187,"6/97","108/17332","3551/5970/1385/5781/5588/6513","IKBKB/RELA/CREB1/PTPN11/PRKCQ/SLC2A1",6,108,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",2.31063341830227
"GOBP_CELLULAR_RESPONSE_TO_STARVATION","CELLULAR RESPONSE TO STARVATION",8.95355272420896,3.20824360938765e-05,0.00489064997866187,"7/97","160/17332","10641/9474/10670/440275/8131/8678/6513","NPRL2/ATG5/RRAGA/EIF2AK4/NPRL3/BECN1/SLC2A1",7,160,"2018_Science_Pan_B16_OT_I",4,18,"Tcells","neg",2.31063341830227
"REACTOME_1169091","Activation of NF-kappaB in B
 cells",9.33467981685099,3.63198994820922e-05,0.00489064997866187,"5/97","67/17332","5696/3551/5720/5970/5721","PSMB8/IKBKB/PSME1/RELA/PSME2",5,67,"2018_Science_Pan_B16_OT_I",7,18,"Tcells","neg",2.31063341830227
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE","CELLULAR RESPONSE TO PEPTIDE",11.668521168923,3.66550102108403e-05,0.00489064997866187,"10/97","364/17332","5970/5771/10014/5781/8837/10135/51510/5588/1020/7249","RELA/PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/CHMP5/PRKCQ/CDK5/TSC2",10,364,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",2.31063341830227
"KEGG_hsa05163","Human cytomegalovirus infection",10.9819953559806,3.81714049083466e-05,0.00489064997866187,"8/97","225/17332","3551/5970/8772/1385/1399/3685/5894/7249","IKBKB/RELA/FADD/CREB1/CRKL/ITGAV/RAF1/TSC2",8,225,"2018_Science_Pan_B16_OT_I",9,18,"Tcells","neg",2.31063341830227
"KEGG_hsa04668","TNF signaling pathway",9.55719232158159,3.90020052558318e-05,0.00489064997866187,"6/97","112/17332","3551/5970/8772/1385/8837/3659","IKBKB/RELA/FADD/CREB1/CFLAR/IRF1",6,112,"2018_Science_Pan_B16_OT_I",12,18,"Tcells","neg",2.31063341830227
"KEGG_hsa04920","Adipocytokine signaling pathway",8.09495869317241,4.18938359438447e-05,0.00489064997866187,"5/97","69/17332","3551/5970/5781/5588/6513","IKBKB/RELA/PTPN11/PRKCQ/SLC2A1",5,69,"2018_Science_Pan_B16_OT_I",9,18,"Tcells","neg",2.31063341830227
"PID_MTOR_4PATHWAY","MTOR 4PATHWAY",7.46459202011551,4.18938359438447e-05,0.00489064997866187,"5/97","69/17332","3551/10670/5894/7534/7249","IKBKB/RRAGA/RAF1/YWHAZ/TSC2",5,69,"2018_Science_Pan_B16_OT_I",3,18,"Tcells","neg",2.31063341830227
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE","REGULATION OF INNATE IMMUNE RESPONSE
",10.8731765355686,4.46055220303944e-05,0.00499024277715038,"8/97","230/17332","3551/8772/11274/5771/5272/5781/3659/11277","IKBKB/FADD/USP18/PTPN2/SERPINB9/PTPN11/IRF1/TREX1",8,230,"2018_Science_Pan_B16_OT_I",10,18,"Tcells","neg",2.30187832527602
"PID_GMCSF_PATHWAY","GMCSF PATHWAY",6.80603775335743,4.73290253758493e-05,0.00508313732536621,"4/97","36/17332","3551/5781/5894/7534","IKBKB/PTPN11/RAF1/YWHAZ",4,36,"2018_Science_Pan_B16_OT_I",3,18,"Tcells","neg",2.29386815729648
"GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS","CELLULAR RESPONSE TO EXTERNAL STIMULUS
",10.6593044066434,5.85733042573056e-05,0.00584762539559247,"9/97","309/17332","8772/10641/9474/10670/440275/3659/8131/8678/6513","FADD/NPRL2/ATG5/RRAGA/EIF2AK4/IRF1/NPRL3/BECN1/SLC2A1",9,309,"2018_Science_Pan_B16_OT_I",4,18,"Tcells","neg",2.23302045647393
"REACTOME_8939243","RUNX1 interacts with co-factors whose
 precise effect on RUNX1 targets
 is not known",6.59927204945797,5.88029369389187e-05,0.00584762539559247,"4/97","38/17332","196528/55193/28996/8289","ARID2/PBRM1/HIPK2/ARID1A",4,38,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",2.23302045647393
"GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS","REGULATION OF RESPONSE TO CYTOKINE
 STIMULUS",10.5192765595706,6.32160656900615e-05,0.00606196915635054,"7/97","178/17332","90268/3551/8772/11274/5771/5781/11277","OTULIN/IKBKB/FADD/USP18/PTPN2/PTPN11/TREX1",7,178,"2018_Science_Pan_B16_OT_I",10,18,"Tcells","neg",2.2173862776782
"KEGG_hsa05220","Chronic myeloid leukemia",8.27881563948067,6.67752130514485e-05,0.00618246369114273,"5/97","76/17332","3551/5970/1399/5781/5894","IKBKB/RELA/CRKL/PTPN11/RAF1",5,76,"2018_Science_Pan_B16_OT_I",7,18,"Tcells","neg",2.20883842551784
"PID_IFNG_PATHWAY","IFNG PATHWAY",6.88644663820722,7.21826963587469e-05,0.00637779931372985,"4/97","40/17332","5771/1399/5781/3659","PTPN2/CRKL/PTPN11/IRF1",4,40,"2018_Science_Pan_B16_OT_I",6,18,"Tcells","neg",2.19532915055417
"BIOCARTA_RELA_PATHWAY","RELA PATHWAY",6.74680533681185,7.36356717786315e-05,0.00637779931372985,"3/97","15/17332","3551/5970/8772","IKBKB/RELA/FADD",3,15,"2018_Science_Pan_B16_OT_I",8,18,"Tcells","neg",2.19532915055417
"REACTOME_5607764","CLEC7A (Dectin-1) signaling",9.33467981685099,8.53713422167118e-05,0.00691925005333041,"5/97","80/17332","5696/3551/5720/5970/5721","PSMB8/IKBKB/PSME1/RELA/PSME2",5,80,"2018_Science_Pan_B16_OT_I",7,18,"Tcells","neg",2.15994097423546
"PID_PDGFRB_PATHWAY","PDGFRB PATHWAY",8.43396583514123,8.59213277632271e-05,0.00691925005333041,"6/97","129/17332","5771/3685/5781/10096/5894/7534","PTPN2/ITGAV/PTPN11/ACTR3/RAF1/YWHAZ",6,129,"2018_Science_Pan_B16_OT_I",3,18,"Tcells","neg",2.15994097423546
"GOBP_RESPONSE_TO_PEPTIDE_HORMONE","RESPONSE TO PEPTIDE HORMONE",11.9034043995496,8.76180639900313e-05,0.00691925005333041,"10/97","404/17332","5970/1385/5771/10014/5781/8837/10135/5588/6513/7249","RELA/CREB1/PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/PRKCQ/SLC2A1/TSC2",10,404,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",2.15994097423546
"GOBP_RESPONSE_TO_INSULIN","RESPONSE TO INSULIN",10.0330952419878,0.000108058536586508,0.008289633449565,"8/97","261/17332","5771/10014/5781/8837/10135/5588/6513/7249","PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/PRKCQ/SLC2A1/TSC2",8,261,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",2.08146467262835
"GOBP_RESPONSE_TO_STARVATION","RESPONSE TO STARVATION",8.95355272420896,0.00011562800057042,0.00862392170921046,"7/97","196/17332","10641/9474/10670/440275/8131/8678/6513","NPRL2/ATG5/RRAGA/EIF2AK4/NPRL3/BECN1/SLC2A1",7,196,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",2.06429519480718
"BIOCARTA_KERATINOCYTE_PATHWAY","KERATINOCYTE PATHWAY",7.17936471873147,0.000125620641341025,0.00911598437839601,"4/97","46/17332","3551/5970/5588/5894","IKBKB/RELA/PRKCQ/RAF1",4,46,"2018_Science_Pan_B16_OT_I",6,18,"Tcells","neg",2.04019642771964
"REACTOME_9020702","Interleukin-1 signaling",9.33467981685099,0.000134303838549461,0.0094126533791964,"5/97","88/17332","5696/3551/5720/5970/5721","PSMB8/IKBKB/PSME1/RELA/PSME2",5,88,"2018_Science_Pan_B16_OT_I",7,18,"Tcells","neg",2.02628793390456
"PID_LKB1_PATHWAY","LKB1 PATHWAY",6.48440221395826,0.000136720104949221,0.0094126533791964,"4/97","47/17332","1385/92335/7534/7249","CREB1/STRADA/YWHAZ/TSC2",4,47,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",2.02628793390456
"GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS","CELLULAR RESPONSE TO INSULIN STIMULUS
",9.38515988117083,0.000162161238753894,0.0108850731513551,"7/97","207/17332","5771/10014/5781/8837/10135/5588/7249","PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/PRKCQ/TSC2",7,207,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.96316864800799
"GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY","NEGATIVE REGULATION OF TYPE I
 INTERFERON MEDIATED SIGNALING PATHWAY",5.90909311734142,0.000180783078101454,0.011839086943961,"3/97","20/17332","11274/5771/11277","USP18/PTPN2/TREX1",3,20,"2018_Science_Pan_B16_OT_I",8,18,"Tcells","neg",1.92668179005312
"GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS","HOMEOSTASIS OF NUMBER OF CELLS
",10.659891647561,0.000188337312088972,0.012040135308545,"8/97","283/17332","8772/5771/6659/10296/5781/23210/2821/28996","FADD/PTPN2/SOX4/MAEA/PTPN11/JMJD6/GPI/HIPK2",8,283,"2018_Science_Pan_B16_OT_I",3,18,"Tcells","neg",1.91936863239512
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL","NEGATIVE REGULATION OF PROTEIN MODIFICATION
 BY SMALL PROTEIN CONJUGATION OR
 REMOVAL",7.77452230103515,0.000202296373634497,0.0122610444318643,"5/97","96/17332","5970/6659/9474/151636/1020","RELA/SOX4/ATG5/DTX3L/CDK5",5,96,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",1.91147253375922
"GOBP_APOPTOTIC_CELL_CLEARANCE","APOPTOTIC CELL CLEARANCE",6.46142824685832,0.000203125726473989,0.0122610444318643,"4/97","52/17332","3685/23210/11277/8678","ITGAV/JMJD6/TREX1/BECN1",4,52,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.91147253375922
"BIOCARTA_CERAMIDE_PATHWAY","CERAMIDE PATHWAY",6.17973860363187,0.000210058861774956,0.0122610444318643,"3/97","21/17332","5970/8772/5894","RELA/FADD/RAF1",3,21,"2018_Science_Pan_B16_OT_I",9,18,"Tcells","neg",1.91147253375922
"BIOCARTA_NFKB_PATHWAY","NFKB PATHWAY",6.74680533681185,0.000210058861774956,0.0122610444318643,"3/97","21/17332","3551/5970/8772","IKBKB/RELA/FADD",3,21,"2018_Science_Pan_B16_OT_I",12,18,"Tcells","neg",1.91147253375922
"GOBP_DEFENSE_RESPONSE_TO_SYMBIONT","DEFENSE RESPONSE TO SYMBIONT",10.1114447926845,0.000227587807476041,0.0130015587887908,"8/97","291/17332","5970/8772/9474/440275/3659/151636/11277/8678","RELA/FADD/ATG5/EIF2AK4/IRF1/DTX3L/TREX1/BECN1",8,291,"2018_Science_Pan_B16_OT_I",7,18,"Tcells","neg",1.88600457594034
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS","CELLULAR RESPONSE TO PEPTIDE HORMONE
 STIMULUS",10.3987264785722,0.000243936916161248,0.0136452212477698,"8/97","294/17332","5970/5771/10014/5781/8837/10135/5588/7249","RELA/PTPN2/HDAC5/PTPN11/CFLAR/NAMPT/PRKCQ/TSC2",8,294,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.8650194181541
"KEGG_hsa04625","C-type lectin receptor signaling pathway
",8.10021174878122,0.000293834474437618,0.0159947641061303,"5/97","104/17332","3551/5970/5781/3659/5894","IKBKB/RELA/PTPN11/IRF1/RAF1",5,104,"2018_Science_Pan_B16_OT_I",4,18,"Tcells","neg",1.79602216059153
"KEGG_hsa05161","Hepatitis B",9.35696499139005,0.000297854080188646,0.0159947641061303,"6/97","162/17332","3551/5970/8772/1385/5894/7534","IKBKB/RELA/FADD/CREB1/RAF1/YWHAZ",6,162,"2018_Science_Pan_B16_OT_I",7,18,"Tcells","neg",1.79602216059153
"GOBP_RESPONSE_TO_MUSCLE_STRETCH","RESPONSE TO MUSCLE STRETCH",5.83176583554415,0.000315799665403886,0.016368302848,"3/97","24/17332","5970/2821/5894","RELA/GPI/RAF1",3,24,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.78599634819701
"GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","REGULATION OF CYSTEINE TYPE ENDOPEPTIDASE
 ACTIVITY",9.53668154265745,0.000325281251062594,0.016368302848,"7/97","232/17332","8772/5272/51024/8837/2821/5894/23787","FADD/SERPINB9/FIS1/CFLAR/GPI/RAF1/MTCH1",7,232,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",1.78599634819701
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","ANTIGEN PROCESSING AND PRESENTATION",8.7148192550117,0.000335221273274717,0.016368302848,"5/97","107/17332","5696/3551/5720/9474/11277","PSMB8/IKBKB/PSME1/ATG5/TREX1",5,107,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",1.78599634819701
"GOBP_RESPONSE_TO_VIRUS","RESPONSE TO VIRUS",11.128529727232,0.000343045991379638,0.016368302848,"9/97","391/17332","3551/5970/8772/9474/440275/3659/151636/11277/8678","IKBKB/RELA/FADD/ATG5/EIF2AK4/IRF1/DTX3L/TREX1/BECN1",9,391,"2018_Science_Pan_B16_OT_I",7,18,"Tcells","neg",1.78599634819701
"GOBP_MACROAUTOPHAGY","MACROAUTOPHAGY",9.46723737584535,0.000348249232590572,0.016368302848,"8/97","310/17332","9474/51510/57724/55072/9525/8678/1020/7249","ATG5/CHMP5/EPG5/RNF31/VPS4B/BECN1/CDK5/TSC2",8,310,"2018_Science_Pan_B16_OT_I",13,18,"Tcells","neg",1.78599634819701
"GOBP_AUTOPHAGOSOME_MATURATION","AUTOPHAGOSOME MATURATION",6.38101936200853,0.000353579726325513,0.016368302848,"4/97","60/17332","9474/51510/57724/8678","ATG5/CHMP5/EPG5/BECN1",4,60,"2018_Science_Pan_B16_OT_I",5,18,"Tcells","neg",1.78599634819701
"PID_FCER1_PATHWAY","FCER1 PATHWAY",7.29423455423117,0.000353579726325513,0.016368302848,"4/97","60/17332","3551/5970/5781/5894","IKBKB/RELA/PTPN11/RAF1",4,60,"2018_Science_Pan_B16_OT_I",5,18,"Tcells","neg",1.78599634819701
"REACTOME_5607761","Dectin-1 mediated noncanonical NF-kB signaling
",8.15575832047895,0.000353579726325513,0.016368302848,"4/97","60/17332","5696/5720/5970/5721","PSMB8/PSME1/RELA/PSME2",4,60,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",1.78599634819701
"BIOCARTA_RACCYCD_PATHWAY","RACCYCD PATHWAY",6.25706588542914,0.000402393625623958,0.0183123200813615,"3/97","26/17332","3551/5970/5894","IKBKB/RELA/RAF1",3,26,"2018_Science_Pan_B16_OT_I",6,18,"Tcells","neg",1.73725662922636
"GOBP_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION","NEGATIVE REGULATION OF LIPID LOCALIZATION
",7.0128034572569,0.000426414977491647,0.0189293890999858,"4/97","63/17332","5771/3685/5781/51024","PTPN2/ITGAV/PTPN11/FIS1",4,63,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",1.72286340160864
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","NEGATIVE REGULATION OF RESPONSE TO
 BIOTIC STIMULUS",7.95312619173461,0.00043109042306153,0.0189293890999858,"5/97","113/17332","11274/5771/5272/9474/11277","USP18/PTPN2/SERPINB9/ATG5/TREX1",5,113,"2018_Science_Pan_B16_OT_I",9,18,"Tcells","neg",1.72286340160864
"GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS","CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS
",8.95355272420896,0.000451428148776909,0.0189293890999858,"7/97","245/17332","10641/9474/10670/440275/8131/8678/6513","NPRL2/ATG5/RRAGA/EIF2AK4/NPRL3/BECN1/SLC2A1",7,245,"2018_Science_Pan_B16_OT_I",3,18,"Tcells","neg",1.72286340160864
"GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY","PROTEIN CONTAINING COMPLEX DISASSEMBLY",8.99487681370531,0.000451428148776909,0.0189293890999858,"7/97","245/17332","196528/9474/51510/57724/8289/9525/8678","ARID2/ATG5/CHMP5/EPG5/ARID1A/VPS4B/BECN1",7,245,"2018_Science_Pan_B16_OT_I",5,18,"Tcells","neg",1.72286340160864
"GOBP_REGULATION_OF_LYSOSOME_ORGANIZATION","REGULATION OF LYSOSOME ORGANIZATION",4.00149173558745,0.000458253367411201,0.0189293890999858,"2/97","6/17332","11277/8678","TREX1/BECN1",2,6,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.72286340160864
"GOBP_RESPONSE_TO_IRON_II_ION","RESPONSE TO IRON II ION
",4.16822055790359,0.000458253367411201,0.0189293890999858,"2/97","6/17332","9474/8678","ATG5/BECN1",2,6,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.72286340160864
"GOBP_RECEPTOR_CATABOLIC_PROCESS","RECEPTOR CATABOLIC PROCESS",5.09071271832031,0.000502921124231494,0.0201543763964412,"3/97","28/17332","151636/8678/1020","DTX3L/BECN1/CDK5",3,28,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.69563063495942
"PID_TRAIL_PATHWAY","TRAIL PATHWAY",6.44394014977254,0.000502921124231494,0.0201543763964412,"3/97","28/17332","3551/8772/8837","IKBKB/FADD/CFLAR",3,28,"2018_Science_Pan_B16_OT_I",11,18,"Tcells","neg",1.69563063495942
"KEGG_hsa05165","Human papillomavirus infection",10.8340017602203,0.000537770221222985,0.0207065573765225,"8/97","331/17332","3551/5970/8772/1385/3685/3659/5894/7249","IKBKB/RELA/FADD/CREB1/ITGAV/IRF1/RAF1/TSC2",8,331,"2018_Science_Pan_B16_OT_I",5,18,"Tcells","neg",1.68389209988296
"GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS","REGULATION OF CELLULAR RESPONSE TO
 INSULIN STIMULUS",6.65670696720782,0.000539409773048093,0.0207065573765225,"4/97","67/17332","5771/5781/5588/7249","PTPN2/PTPN11/PRKCQ/TSC2",4,67,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.68389209988296
"KEGG_hsa04722","Neurotrophin signaling pathway",8.27881563948067,0.000546329410951419,0.0207065573765225,"5/97","119/17332","3551/5970/1399/5781/5894","IKBKB/RELA/CRKL/PTPN11/RAF1",5,119,"2018_Science_Pan_B16_OT_I",3,18,"Tcells","neg",1.68389209988296
"BIOCARTA_DEATH_PATHWAY","DEATH PATHWAY",6.36661286797527,0.000558681472376965,0.0207065573765225,"3/97","29/17332","5970/8772/8837","RELA/FADD/CFLAR",3,29,"2018_Science_Pan_B16_OT_I",11,18,"Tcells","neg",1.68389209988296
"REACTOME_380972","Energy dependent regulation of mTOR
 by LKB1-AMPK",5.1873718205669,0.000558681472376965,0.0207065573765225,"3/97","29/17332","10670/92335/7249","RRAGA/STRADA/TSC2",3,29,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.68389209988296
"GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY","INSULIN RECEPTOR SIGNALING PATHWAY",7.59591841033569,0.000567585098220115,0.0207065573765225,"5/97","120/17332","5771/5781/10135/5588/7249","PTPN2/PTPN11/NAMPT/PRKCQ/TSC2",5,120,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",1.68389209988296
"REACTOME_1632852","Macroautophagy",6.23168857585891,0.000570683518012165,0.0207065573765225,"4/97","68/17332","9474/10670/8678/7249","ATG5/RRAGA/BECN1/TSC2",4,68,"2018_Science_Pan_B16_OT_I",8,18,"Tcells","neg",1.68389209988296
"KEGG_hsa04621","NOD-like receptor signaling pathway",9.27882749668115,0.000586138431805385,0.0207648406640013,"6/97","184/17332","3551/5970/8772/9474/10135/55072","IKBKB/RELA/FADD/ATG5/NAMPT/RNF31",6,184,"2018_Science_Pan_B16_OT_I",11,18,"Tcells","neg",1.68267139703715
"GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY","REGULATION OF INSULIN RECEPTOR SIGNALING
 PATHWAY",6.65670696720782,0.000603224421524061,0.0207648406640013,"4/97","69/17332","5771/5781/5588/7249","PTPN2/PTPN11/PRKCQ/TSC2",4,69,"2018_Science_Pan_B16_OT_I",1,18,"Tcells","neg",1.68267139703715
"KEGG_hsa05211","Renal cell carcinoma",6.51886316460817,0.000603224421524061,0.0207648406640013,"4/97","69/17332","1399/5781/5894/6513","CRKL/PTPN11/RAF1/SLC2A1",4,69,"2018_Science_Pan_B16_OT_I",2,18,"Tcells","neg",1.68267139703715
"PID_VEGFR1_2_PATHWAY","VEGFR1 2 PATHWAY",6.84624219578233,0.000603224421524061,0.0207648406640013,"4/97","69/17332","5771/3685/5781/5894","PTPN2/ITGAV/PTPN11/RAF1",4,69,"2018_Science_Pan_B16_OT_I",6,18,"Tcells","neg",1.68267139703715
"GOBP_REGULATION_OF_AUTOPHAGY","REGULATION OF AUTOPHAGY",9.61958372442217,0.00062896581570611,0.0211887611008348,"8/97","339/17332","10641/9474/55072/10670/8131/8678/1020/7249","NPRL2/ATG5/RNF31/RRAGA/NPRL3/BECN1/CDK5/TSC2",8,339,"2018_Science_Pan_B16_OT_I",9,18,"Tcells","neg",1.67389443558748
"KEGG_hsa04622","RIG-I-like receptor signaling pathway",7.67330501138019,0.000637061182768244,0.0211887611008348,"4/97","70/17332","3551/5970/8772/9474","IKBKB/RELA/FADD/ATG5",4,70,"2018_Science_Pan_B16_OT_I",11,18,"Tcells","neg",1.67389443558748
"REACTOME_5603029","IkBA variant leads to EDA-ID
",5.3201651484515,0.000639214022036358,0.0211887611008348,"2/97","7/17332","3551/5970","IKBKB/RELA",2,7,"2018_Science_Pan_B16_OT_I",5,18,"Tcells","neg",1.67389443558748
