id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ankrd45	4	0.00066744	0.001206	0.43851	54	2	-4.2552	0.087501	0.15327	0.920867	3269	1	4.824
Ino80d	4	0.00067124	0.0012098	0.43851	55	4	-5.9189	0.99933	0.99974	1.0	19594	0	0
Coa6	4	0.00067124	0.0012098	0.43851	56	4	-5.9864	0.99933	0.99974	1.0	19593	0	0
Rnf166	4	0.00067824	0.0012142	0.43851	57	4	-4.6762	0.9855	0.99373	1.0	19215	0	0
Vsx1	4	0.00070413	0.001269	0.45041	58	4	-6.4213	0.9993	0.99973	1.0	19592	0	0
Recql	4	0.00071577	0.0015085	0.452386	59	3	-6.8393	0.24023	0.36499	1.0	6764	1	4.6639
Nsun6	4	0.00072082	0.0015085	0.452386	60	3	-3.1457	0.58806	0.61954	1.0	11492	1	2.4449
Mettl3	3	0.00077018	0.0013724	0.452386	61	3	-6.8095	0.99877	0.99912	1.0	19581	0	0
Cacna2d4	4	0.0007742	0.0015441	0.452386	62	1	-8.1804	0.26994	0.41332	1.0	7454	2	1.9585
Rnf185	4	0.00077859	0.0015494	0.452386	63	4	-6.1144	0.99922	0.99972	1.0	19590	0	0
Slc11a2	4	0.00077859	0.0015494	0.452386	64	4	-5.9589	0.99922	0.99972	1.0	19589	0	0
Aicda	4	0.00077859	0.0015494	0.452386	65	4	-6.1434	0.99922	0.99972	1.0	19591	0	0
Ren1	4	0.00078451	0.0015547	0.452386	66	3	-5.2132	0.93097	0.95803	1.0	17974	0	0
Agpat2	4	0.00080994	0.0015552	0.452386	67	4	-5.4763	0.99182	0.99675	1.0	19388	0	0
Smim23	4	0.00080994	0.0015552	0.452386	68	2	-4.8083	0.16645	0.25513	1.0	5138	1	3.3518
Clca2	4	0.00081984	0.0015619	0.452386	69	4	-5.8063	0.99918	0.9997	1.0	19588	0	0
Lrtm2	4	0.00082071	0.0015686	0.452386	70	3	-6.8172	0.39564	0.49176	1.0	8898	1	3.5643
Etaa1	4	0.00082758	0.0015686	0.452386	71	3	-4.5091	0.73859	0.76849	1.0	14152	0	0
Sdhaf2	4	0.00090961	0.0016018	0.452386	72	4	-5.6208	0.99909	0.99969	1.0	19587	0	0
March6	4	0.00093433	0.0017408	0.452386	73	3	-6.2209	0.08498	0.15327	0.920867	3198	1	5.7288
Olfr1368	4	0.00093433	0.0017408	0.452386	74	1	-4.0036	0.7242	0.75456	1.0	13862	0	0
Adam24	4	0.00093433	0.0017408	0.452386	75	2	-4.6596	0.46262	0.52484	1.0	9726	1	2.9951
Atp1a4	4	0.00096706	0.00175	0.452386	76	3	-6.3234	0.4848	0.54132	1.0	10000	1	2.568
Ninj2	4	0.00096706	0.00175	0.452386	77	2	-7.3635	0.71679	0.74875	1.0	13721	0	0
B3gntl1	4	0.00097434	0.0017634	0.452386	78	3	-6.6896	0.46776	0.52936	1.0	9781	1	2.9521
Gm15140	4	0.00097434	0.0017634	0.452386	79	3	-6.8644	0.43953	0.51285	1.0	9424	1	2.8858
Slc26a1	3	0.00098945	0.0047752	0.569493	80	2	-4.8804	0.86865	0.91144	1.0	16693	0	0
Etnk1	4	0.0010069	0.0017875	0.452386	81	4	-5.7211	0.99899	0.99966	1.0	19586	0	0
Serpina3c	4	0.0010069	0.0017875	0.452386	82	4	-5.9116	0.99899	0.99966	1.0	19585	0	0
Susd4	4	0.0010338	0.0019284	0.452386	83	4	-5.7449	0.99897	0.99966	1.0	19584	0	0
Olfr1325	4	0.0010411	0.0019289	0.452386	84	2	-4.7518	0.19602	0.31314	1.0	5768	2	2.8274
Ctnnb1	4	0.0010445	0.0019289	0.452386	85	4	-3.9641	0.94635	0.96871	1.0	18311	0	0
Aqp11	4	0.0010445	0.0019289	0.452386	86	3	-5.0988	0.92018	0.95036	1.0	17752	0	0
Sox5	4	0.0010611	0.0019421	0.452386	87	3	-6.7341	0.63105	0.66018	1.0	12232	1	1.9963
F10	4	0.0010643	0.0019553	0.452386	88	3	-4.5577	0.91426	0.94497	1.0	17640	0	0
Gm3238	3	0.0010723	0.0050955	0.569493	89	2	-7.2934	0.076151	0.11847	0.920867	2977	1	4.5233
Vmn1r226	4	0.0010843	0.0019553	0.452386	90	2	-7.2761	0.34885	0.47219	1.0	8390	1	3.1347
Hnrnpc	4	0.0011099	0.0019558	0.452386	91	4	-5.5305	0.99889	0.99966	1.0	19583	0	0
Traf3	4	0.0011211	0.0039465	0.569493	92	4	-4.768	0.9596	0.97536	1.0	18609	0	0
Cfdp1	4	0.0012012	0.0059333	0.569493	93	3	-5.7499	0.26471	0.40604	1.0	7340	1	3.8011
Kat2b	4	0.0012208	0.0059333	0.569493	94	4	-6.395	0.99878	0.99965	1.0	19582	0	0
Tesk2	3	0.0012212	0.005311	0.569493	95	2	-5.2321	0.1415	0.23541	1.0	4544	1	4.917
Polr2f	2	0.0012506	0.0030923	0.569493	96	2	-6.898	0.99875	0.99895	1.0	19580	0	0
Klrc1	4	0.0012545	0.0060906	0.569493	97	3	-3.5928	0.91048	0.94112	1.0	17557	0	0
Amotl1	4	0.0012756	0.0060964	0.569493	98	4	-6.0325	0.99872	0.99965	1.0	19579	0	0
Gm6583	4	0.0013079	0.0064244	0.569493	99	3	-3.2657	0.71604	0.74875	1.0	13707	0	0
Gpm6a	4	0.0013142	0.0064388	0.569493	100	3	-6.6658	0.71776	0.74875	1.0	13740	0	0
Camk2a	4	0.0013142	0.0064388	0.569493	101	3	-6.8811	0.84672	0.88518	1.0	16278	0	0
Tada1	4	0.0013142	0.0064388	0.569493	102	3	-6.4908	0.77244	0.8128	1.0	14863	0	0
Isca1	3	0.0013284	0.0053935	0.569493	103	3	-6.1117	0.99867	0.99903	1.0	19578	0	0
Chchd1	4	0.0013315	0.0064532	0.569493	104	3	-6.7171	0.44601	0.51285	1.0	9500	1	2.5538
Sirt7	4	0.0013315	0.0064532	0.569493	105	3	-6.6074	0.84174	0.87869	1.0	16183	0	0
Eif4b	4	0.0013352	0.0064532	0.569493	106	4	-5.9374	0.99866	0.99964	1.0	19576	0	0
Adgrf2	4	0.0013352	0.0064532	0.569493	107	4	-5.8085	0.99866	0.99964	1.0	19577	0	0
Hormad2	4	0.0013612	0.0064537	0.569493	108	1	-8.0823	0.19047	0.30675	1.0	5641	2	2.276
Olfr806	4	0.0013637	0.0064537	0.569493	109	3	-6.6177	0.75482	0.78701	1.0	14489	0	0
Osbpl5	4	0.0013637	0.0064537	0.569493	110	3	-6.4656	0.86975	0.90129	1.0	16720	0	0
Mnt	4	0.0013752	0.0064537	0.569493	111	3	-5.0907	0.1048	0.17298	0.954013	3696	1	5.4155
Olfr1467	4	0.0014183	0.0064605	0.569493	112	3	-5.3625	0.56733	0.60455	1.0	11190	1	2.414
Plscr2	4	0.0014413	0.0064864	0.569493	113	2	-4.1997	0.55524	0.59549	1.0	11005	1	2.8072
Efcab1	4	0.0014413	0.0064864	0.569493	114	3	-5.1775	0.84811	0.886	1.0	16308	0	0
Rmi1	4	0.0014694	0.0064869	0.569493	115	2	-7.3189	0.90006	0.92964	1.0	17317	0	0
Atrip	4	0.0014711	0.006497	0.569493	116	4	-5.5526	0.99853	0.99962	1.0	19574	0	0
Hoxb7	4	0.0014711	0.006497	0.569493	117	4	-5.6732	0.99853	0.99962	1.0	19573	0	0
Hoxa11	4	0.0014711	0.006497	0.569493	118	4	-5.2143	0.99853	0.99962	1.0	19575	0	0
Traf6	4	0.0015238	0.0065076	0.569493	119	2	-7.1718	0.26284	0.40294	1.0	7287	1	3.8285
Ferd3l	4	0.0015238	0.0065076	0.569493	120	2	-7.1748	0.072777	0.14229	0.920867	2887	1	7.0995
Map3k15	4	0.0015394	0.0065124	0.569493	121	4	-5.92	0.99846	0.9996	1.0	19572	0	0
Fer1l5	4	0.0015394	0.0065124	0.569493	122	4	-5.9594	0.99846	0.9996	1.0	19571	0	0
Olfr1226	4	0.001548	0.0065177	0.569493	123	2	-4.915	0.067113	0.13451	0.920867	2776	2	3.2473
Mmp13	4	0.001548	0.0065177	0.569493	124	3	-4.6259	0.51468	0.56672	1.0	10439	1	2.7931
Olfr686	4	0.00155	0.0065324	0.569493	125	3	-6.3597	0.33451	0.46158	1.0	8228	1	3.761
4930452B06Rik	4	0.00155	0.0065324	0.569493	126	3	-6.4686	0.81922	0.85714	1.0	15731	0	0
Rpp40	3	0.0015543	0.0056611	0.569493	127	3	-6.0977	0.99845	0.99888	1.0	19570	0	0
Vmn1r57	4	0.0015752	0.0065562	0.569493	128	4	-5.6368	0.99842	0.99959	1.0	19569	0	0
Gtf2i	4	0.0016164	0.0067793	0.569493	129	4	-5.3889	0.99838	0.99955	1.0	19568	0	0
Onecut2	4	0.0016164	0.0067793	0.569493	130	4	-5.4443	0.99838	0.99955	1.0	19566	0	0
Zfp879	4	0.0016164	0.0067793	0.569493	131	4	-5.7883	0.99838	0.99955	1.0	19567	0	0
Kbtbd8	4	0.0016194	0.0068772	0.569493	132	3	-6.5902	0.8336	0.86958	1.0	16031	0	0
Gm2863	3	0.0016214	0.0058025	0.569493	133	2	-4.3438	0.76502	0.81121	1.0	14710	0	0
Lgals3bp	4	0.0016526	0.0069631	0.569493	134	4	-5.3608	0.98885	0.99564	1.0	19301	0	0
Vmn2r69	4	0.0016813	0.0069631	0.569493	135	4	-5.5747	0.98763	0.99498	1.0	19265	0	0
Cwc25	4	0.0016839	0.0070722	0.569493	136	4	-5.2319	0.99832	0.99954	1.0	19564	0	0
Olfr591	4	0.0016839	0.0070722	0.569493	137	4	-5.5422	0.99832	0.99954	1.0	19565	0	0
Pex1	4	0.0016839	0.0070722	0.569493	138	4	-5.9006	0.99832	0.99954	1.0	19563	0	0
Dido1	3	0.0017174	0.0058655	0.569493	139	3	-6.513	0.99568	0.99788	1.0	19492	0	0
Ept1	4	0.0017473	0.0070727	0.569493	140	4	-5.0411	0.97103	0.98408	1.0	18855	0	0
Cbln2	4	0.0017501	0.0070727	0.569493	141	2	-7.3473	0.062017	0.13255	0.920867	2647	2	3.7283
Mtif3	4	0.0017582	0.0070766	0.569493	142	4	-5.3017	0.99824	0.99953	1.0	19561	0	0
Slc4a9	4	0.0017582	0.0070766	0.569493	143	4	-5.6804	0.99824	0.99953	1.0	19562	0	0
Vmn1r174	4	0.0017613	0.0070804	0.569493	144	3	-4.404	0.27521	0.42444	1.0	7582	1	3.8411
Pcdha12	4	0.0017613	0.0070804	0.569493	145	2	-7.0423	0.67409	0.70241	1.0	12945	1	2.0398
Eno2	3	0.0017865	0.0059295	0.569493	146	3	-5.9532	0.99821	0.99875	1.0	19560	0	0
Brd9	3	0.0017865	0.0059295	0.569493	147	3	-6.171	0.99821	0.99875	1.0	19559	0	0
Prl3a1	4	0.0018081	0.0072937	0.569493	148	2	-7.1255	0.82001	0.85907	1.0	15752	0	0
Olfr1199	4	0.0018181	0.0075287	0.569493	149	3	-6.8052	0.18365	0.29187	1.0	5495	1	5.1779
Hk1	4	0.0018413	0.0075647	0.569493	150	3	-5.1569	0.8444	0.88359	1.0	16242	0	0
Rnaseh1	4	0.0018455	0.0075789	0.569493	151	4	-5.7711	0.99815	0.99949	1.0	19555	0	0
Hsf2	4	0.0018455	0.0075789	0.569493	152	4	-5.8527	0.99815	0.99949	1.0	19557	0	0
Cd320	4	0.0018455	0.0075789	0.569493	153	4	-5.0959	0.99815	0.99949	1.0	19556	0	0
Snd1	4	0.0018455	0.0075789	0.569493	154	4	-5.523	0.99815	0.99949	1.0	19558	0	0
Iba57	3	0.0018591	0.0059817	0.569493	155	3	-6.4773	0.99814	0.99869	1.0	19554	0	0
Kcnn1	4	0.0018831	0.0075936	0.569493	156	4	-5.2371	0.99812	0.99948	1.0	19553	0	0
Kctd3	4	0.0018932	0.0076883	0.569493	157	4	-5.6052	0.99325	0.99758	1.0	19427	0	0
Olfr1167	4	0.0018947	0.0077831	0.569493	158	4	-3.8416	0.94526	0.96779	1.0	18287	0	0
Zkscan1	4	0.0019324	0.0077831	0.569493	159	4	-5.5944	0.99807	0.99948	1.0	19552	0	0
AY761185	3	0.0019324	0.0061656	0.569493	160	3	-5.8432	0.99807	0.99865	1.0	19551	0	0
Olfr354	4	0.001948	0.0077831	0.569493	161	2	-5.0701	0.87662	0.90766	1.0	16855	0	0
Cfh	4	0.0019548	0.0077831	0.569493	162	2	-6.6593	0.59312	0.62403	1.0	11573	1	1.9026
Pde12	4	0.0019548	0.0077831	0.569493	163	4	-5.1237	0.95416	0.97217	1.0	18492	0	0
Slc25a45	4	0.0019746	0.0077836	0.569493	164	4	-5.368	0.98086	0.99117	1.0	19098	0	0
Olfr1472	4	0.0019746	0.0077836	0.569493	165	3	-6.717	0.18034	0.2868	1.0	5417	1	5.026
Cdh4	4	0.0019746	0.0077836	0.569493	166	3	-6.3437	0.20178	0.31713	1.0	5893	1	4.3485
Gnptab	4	0.0019746	0.0077836	0.569493	167	4	-5.1076	0.97846	0.98958	1.0	19045	0	0
Cdkl1	3	0.0019815	0.0061849	0.569493	168	2	-6.7406	0.41681	0.45467	1.0	9148	1	2.8136
Pdcl3	4	0.0020199	0.0077966	0.569493	169	4	-5.4235	0.99798	0.99946	1.0	19550	0	0
Chmp3	4	0.0020199	0.0077966	0.569493	170	4	-5.604	0.99798	0.99946	1.0	19548	0	0
Mrps28	4	0.0020199	0.0077966	0.569493	171	4	-5.3507	0.99798	0.99946	1.0	19549	0	0
Ttc34	4	0.002028	0.0078095	0.569493	172	4	-3.9905	0.98423	0.99268	1.0	19173	0	0
Cmtm2a	4	0.002028	0.0078095	0.569493	173	2	-4.1711	0.45389	0.51881	1.0	9595	1	2.9611
Olfr52	4	0.0020389	0.0080137	0.569493	174	4	-4.4502	0.98804	0.99513	1.0	19284	0	0
Gstt3	4	0.0020601	0.0082429	0.569493	175	3	-6.3948	0.045972	0.10669	0.920867	2085	1	6.1269
Zfp119a	4	0.0020601	0.0082429	0.569493	176	4	-5.2057	0.98489	0.99335	1.0	19197	0	0
Alg10b	4	0.0020601	0.0082429	0.569493	177	3	-6.6387	0.18658	0.30378	1.0	5563	1	5.1786
Khdc1c	4	0.0020601	0.0082429	0.569493	178	4	-5.0309	0.98401	0.99258	1.0	19163	0	0
Olfr50	4	0.002108	0.0082684	0.569493	179	2	-4.2689	0.46183	0.52484	1.0	9715	1	2.7319
Zranb2	4	0.0021107	0.0082823	0.569493	180	4	-5.2764	0.99789	0.99943	1.0	19546	0	0
Cav2	4	0.0021174	0.0082963	0.569493	181	2	-7.0613	0.90503	0.93557	1.0	17420	0	0
Klhdc7b	4	0.0021174	0.0082963	0.569493	182	3	-6.3089	0.57725	0.61361	1.0	11335	1	2.1341
Ucn2	3	0.0021326	0.0062195	0.569493	183	3	-5.3058	0.95486	0.97475	1.0	18508	0	0
BC100530	4	0.0021593	0.0083444	0.569493	184	4	-5.427	0.99784	0.99941	1.0	19545	0	0
Morn3	4	0.0021824	0.0083449	0.569493	185	3	-6.7034	0.7683	0.80574	1.0	14774	0	0
Trak1	4	0.0021824	0.0083449	0.569493	186	3	-6.6047	0.73311	0.76299	1.0	14035	0	0
Btn2a2	4	0.0021824	0.0083449	0.569493	187	3	-5.248	0.61796	0.64651	1.0	12014	1	2.0314
Vmn1r47	4	0.0022033	0.0083449	0.569493	188	4	-4.9978	0.98695	0.99468	1.0	19251	0	0
Stc1	4	0.0022146	0.008354	0.569493	189	1	-7.9806	0.039124	0.09059	0.920867	1824	3	2.3785
Olfr1408	4	0.002251	0.0083545	0.569493	190	4	-5.033	0.95992	0.97536	1.0	18621	0	0
Odf1	4	0.002251	0.0083545	0.569493	191	3	-6.4635	0.69317	0.73096	1.0	13292	1	1.8246
Ranbp6	4	0.0022635	0.0084641	0.569493	192	3	-5.1541	0.85456	0.89156	1.0	16444	0	0
Cyba	4	0.0022679	0.0085738	0.569493	193	2	-6.4969	0.6823	0.71743	1.0	13088	1	1.7762
Shoc2	3	0.0022826	0.0064076	0.569493	194	3	-6.1507	0.99772	0.99855	1.0	19542	0	0
Vps18	3	0.0022826	0.0064076	0.569493	195	3	-5.8282	0.99772	0.99855	1.0	19543	0	0
Nsmce4a	4	0.0023046	0.0085942	0.569493	196	4	-5.2119	0.9977	0.99938	1.0	19541	0	0
R3hcc1l	3	0.0023244	0.0064076	0.569493	197	3	-4.6634	0.8787	0.91804	1.0	16900	0	0
Mgea5	4	0.0023446	0.0086142	0.569493	198	3	-6.4482	0.16645	0.25513	1.0	5143	1	3.3518
Sult1c1	4	0.0023479	0.0086142	0.569493	199	3	-6.5004	0.14918	0.23368	1.0	4717	1	4.7991
Krt78	4	0.0023479	0.0086142	0.569493	200	4	-4.0747	0.98062	0.99104	1.0	19081	0	0
Hus1	3	0.0023726	0.006408	0.569493	201	3	-5.8516	0.99763	0.99855	1.0	19540	0	0
Synj1	4	0.002401	0.0086147	0.569493	202	4	-5.3552	0.9976	0.99935	1.0	19538	0	0
Acsl4	4	0.002401	0.0086147	0.569493	203	4	-5.5694	0.9976	0.99935	1.0	19536	0	0
Smarca5	4	0.002401	0.0086147	0.569493	204	4	-5.3172	0.9976	0.99935	1.0	19537	0	0
Dlat	3	0.0024015	0.006408	0.569493	205	2	-7.2965	0.80746	0.85166	1.0	15515	0	0
Olfr792	4	0.0024144	0.0086147	0.569493	206	2	-7.191	0.75007	0.78443	1.0	14391	0	0
Abca9	4	0.0024144	0.0086147	0.569493	207	3	-5.9345	0.055806	0.12944	0.920867	2484	1	5.8081
Rnaset2b	4	0.0024545	0.0086709	0.569493	208	4	-5.9179	0.99418	0.99791	1.0	19455	0	0
Mageb18	4	0.0024545	0.0086709	0.569493	209	2	-4.2662	0.69854	0.737	1.0	13386	1	1.6286
Capza2	3	0.0024664	0.0064484	0.569493	210	3	-6.314	0.99753	0.99851	1.0	19535	0	0
Ate1	4	0.0024742	0.0086709	0.569493	211	3	-5.9788	0.90689	0.9366	1.0	17467	0	0
Exosc1	3	0.0024891	0.0064888	0.569493	212	3	-6.2853	0.99194	0.9969	1.0	19392	0	0
Znrd1	4	0.0025055	0.0086709	0.569493	213	4	-5.0754	0.99749	0.99935	1.0	19531	0	0
Tph2	4	0.0025055	0.0086709	0.569493	214	4	-5.3784	0.99749	0.99935	1.0	19533	0	0
Abca5	4	0.0025055	0.0086709	0.569493	215	4	-5.8463	0.99749	0.99935	1.0	19534	0	0
Emc8	4	0.0025055	0.0086709	0.569493	216	4	-5.731	0.99749	0.99935	1.0	19532	0	0
Ripk2	4	0.0025345	0.0086709	0.569493	217	1	-7.9629	0.24206	0.37175	1.0	6809	1	4.3037
Colec10	4	0.0025587	0.0086714	0.569493	218	4	-6.0999	0.99537	0.99832	1.0	19483	0	0
Car12	3	0.0025814	0.0065288	0.569493	219	1	-7.89	0.14045	0.23541	1.0	4515	1	5.1661
Gjd2	4	0.0025878	0.0086714	0.569493	220	1	-7.9594	0.66179	0.69333	1.0	12725	1	2.0702
Phf23	4	0.0026097	0.0086714	0.569493	221	4	-5.3701	0.99739	0.99935	1.0	19530	0	0
Mrrf	4	0.0026414	0.0087219	0.569493	222	3	-6.6572	0.56471	0.60003	1.0	11156	1	2.4095
Ascc2	4	0.0026414	0.0087219	0.569493	223	4	-5.2453	0.99246	0.9972	1.0	19406	0	0
Hsdl2	4	0.0026414	0.0087219	0.569493	224	3	-6.2739	0.38351	0.48577	1.0	8763	1	3.1832
Map1lc3b	4	0.0026414	0.0087219	0.569493	225	3	-6.527	0.47488	0.53683	1.0	9874	1	2.6685
Eid1	4	0.0026414	0.0087219	0.569493	226	3	-6.3837	0.14572	0.22865	1.0	4643	1	5.7487
Wbscr17	4	0.002661	0.0087729	0.569493	227	3	-5.6541	0.90842	0.93863	1.0	17506	0	0
Sox3	4	0.0026944	0.0087888	0.569493	228	1	-7.9378	0.017026	0.044794	0.88656	926	3	3.3076
Coq4	4	0.0027173	0.0088436	0.569493	229	4	-5.1952	0.99728	0.99934	1.0	19528	0	0
Cox20	4	0.0027173	0.0088436	0.569493	230	4	-5.7332	0.99728	0.99934	1.0	19529	0	0
Rab35	3	0.0027262	0.0095917	0.569493	231	3	-6.2057	0.99727	0.99839	1.0	19527	0	0
Trim40	4	0.0027477	0.0088441	0.569493	232	1	-7.9342	0.29275	0.43466	1.0	7798	1	3.6725
Vmac	4	0.0027536	0.0088441	0.569493	233	3	-6.2325	0.18062	0.28785	1.0	5424	1	4.5511
Olfr1037	4	0.0027703	0.0089706	0.569493	234	4	-5.0928	0.95285	0.97104	1.0	18457	0	0
Baz1a	4	0.0027703	0.0089706	0.569493	235	4	-5.6443	0.99233	0.99713	1.0	19401	0	0
Psenen	4	0.0027703	0.0089706	0.569493	236	4	-4.8479	0.98639	0.994	1.0	19231	0	0
Adam10	4	0.0027799	0.0090855	0.569493	237	4	-4.5364	0.99722	0.99932	1.0	19526	0	0
Gjc3	3	0.0027814	0.0096261	0.569493	238	1	-7.8749	0.17552	0.28305	1.0	5312	1	3.8509
Morf4l1	4	0.0028277	0.009086	0.569493	239	4	-4.8231	0.95003	0.97045	1.0	18397	0	0
Olfr1000	4	0.0028277	0.009086	0.569493	240	2	-7.09	0.76499	0.79842	1.0	14709	0	0
Ubr4	4	0.0028402	0.0091019	0.569493	241	4	-4.8826	0.99716	0.9993	1.0	19524	0	0
Gm13242	4	0.0028402	0.0091019	0.569493	242	4	-5.0024	0.99716	0.9993	1.0	19525	0	0
