"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"SoftTissue-Liposarc",19,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Thy-AdenoCA",48,0,0,0.0266666666666667,"GammadeltaTcells","neg","Cellular Amino Acid Metabolic Process","Cellular Amino Acid Metabolic Process"
"Lung-SCC",48,2,0.0416666666666667,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"ColoRect-AdenoCA",52,2,0.0384615384615385,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Skin-Melanoma",106,4,0.0377358490566038,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Biliary-AdenoCA",33,1,0.0303030303030303,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Lung-AdenoCA",38,1,0.0263157894736842,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Lymph-BNHL",107,2,0.0186915887850467,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Breast-AdenoCA",198,3,0.0151515151515152,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Liver-HCC",315,4,0.0126984126984127,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Kidney-RCC",143,1,0.00699300699300699,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Panc-AdenoCA",237,1,0.00421940928270042,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Bladder-TCC",23,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Bone-Benign",16,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Bone-Epith",10,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Bone-Osteosarc",38,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Breast-DCIS",3,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Breast-LobularCA",13,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Cervix-AdenoCA",2,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Cervix-SCC",18,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"CNS-GBM",41,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"CNS-Medullo",146,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"CNS-Oligo",18,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"CNS-PiloAstro",89,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Eso-AdenoCA",98,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Head-SCC",57,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Kidney-ChRCC",45,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Lymph-CLL",95,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Myeloid-AML",13,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Myeloid-MDS",2,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Myeloid-MPN",23,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Ovary-AdenoCA",112,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Panc-Endocrine",85,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Prost-AdenoCA",210,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"SoftTissue-Leiomyo",15,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"SoftTissue-Liposarc",19,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Stomach-AdenoCA",69,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Thy-AdenoCA",48,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Uterus-AdenoCA",40,0,0,0.008,"GammadeltaTcells","neg","Atp Synthesis Coupled Proton Transport","ATP Synthesis Coupled Proton Transport"
"Bladder-TCC",23,1,0.0434782608695652,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"ColoRect-AdenoCA",52,2,0.0384615384615385,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Lung-SCC",48,1,0.0208333333333333,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Eso-AdenoCA",98,2,0.0204081632653061,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Skin-Melanoma",106,2,0.0188679245283019,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Head-SCC",57,1,0.0175438596491228,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Panc-Endocrine",85,1,0.0117647058823529,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Kidney-RCC",143,1,0.00699300699300699,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"CNS-Medullo",146,1,0.00684931506849315,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Breast-AdenoCA",198,1,0.00505050505050505,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Panc-AdenoCA",237,1,0.00421940928270042,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Liver-HCC",315,1,0.00317460317460317,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Biliary-AdenoCA",33,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Bone-Benign",16,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Bone-Epith",10,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Bone-Osteosarc",38,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Breast-DCIS",3,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Breast-LobularCA",13,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Cervix-AdenoCA",2,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Cervix-SCC",18,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"CNS-GBM",41,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"CNS-Oligo",18,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"CNS-PiloAstro",89,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Kidney-ChRCC",45,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Lung-AdenoCA",38,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Lymph-BNHL",107,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Lymph-CLL",95,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Myeloid-AML",13,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Myeloid-MDS",2,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Myeloid-MPN",23,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Ovary-AdenoCA",112,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Prost-AdenoCA",210,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"SoftTissue-Leiomyo",15,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"SoftTissue-Liposarc",19,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Stomach-AdenoCA",69,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Thy-AdenoCA",48,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Uterus-AdenoCA",40,0,0,0.00571428571428571,"GammadeltaTcells","neg","Transcription Initiation From Rna Polymerase Iii Promoter","Transcription Initiation from RNA Polymerase III Promoter"
"Lymph-BNHL",107,35,0.327102803738318,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Lung-SCC",48,11,0.229166666666667,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"ColoRect-AdenoCA",52,10,0.192307692307692,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Bladder-TCC",23,4,0.173913043478261,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Lung-AdenoCA",38,4,0.105263157894737,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Skin-Melanoma",106,10,0.0943396226415094,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Biliary-AdenoCA",33,3,0.0909090909090909,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Breast-LobularCA",13,1,0.0769230769230769,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Uterus-AdenoCA",40,3,0.075,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Ovary-AdenoCA",112,8,0.0714285714285714,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Bone-Benign",16,1,0.0625,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Stomach-AdenoCA",69,4,0.0579710144927536,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Cervix-SCC",18,1,0.0555555555555556,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Head-SCC",57,3,0.0526315789473684,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Eso-AdenoCA",98,5,0.0510204081632653,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Breast-AdenoCA",198,9,0.0454545454545455,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"CNS-Medullo",146,6,0.0410958904109589,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Liver-HCC",315,12,0.0380952380952381,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Kidney-RCC",143,5,0.034965034965035,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Panc-AdenoCA",237,7,0.029535864978903,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"CNS-GBM",41,1,0.024390243902439,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Lymph-CLL",95,2,0.0210526315789474,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"CNS-PiloAstro",89,1,0.0112359550561798,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Prost-AdenoCA",210,2,0.00952380952380952,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Bone-Epith",10,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Bone-Osteosarc",38,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Breast-DCIS",3,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Cervix-AdenoCA",2,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"CNS-Oligo",18,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Kidney-ChRCC",45,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Myeloid-AML",13,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Myeloid-MDS",2,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Myeloid-MPN",23,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Panc-Endocrine",85,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"SoftTissue-Leiomyo",15,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"SoftTissue-Liposarc",19,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"Thy-AdenoCA",48,0,0,0.0563809523809524,"GammadeltaTcells","pos","Hdac Classi Pathway","HDAC ClassI Pathway"
"ColoRect-AdenoCA",52,7,0.134615384615385,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Bladder-TCC",23,3,0.130434782608696,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Cervix-SCC",18,2,0.111111111111111,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Bone-Epith",10,1,0.1,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Head-SCC",57,5,0.087719298245614,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Skin-Melanoma",106,8,0.0754716981132075,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"CNS-Oligo",18,1,0.0555555555555556,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Lung-AdenoCA",38,2,0.0526315789473684,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Eso-AdenoCA",98,5,0.0510204081632653,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Uterus-AdenoCA",40,2,0.05,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Stomach-AdenoCA",69,3,0.0434782608695652,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Panc-AdenoCA",237,8,0.0337552742616034,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Liver-HCC",315,9,0.0285714285714286,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Lymph-BNHL",107,3,0.0280373831775701,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Bone-Osteosarc",38,1,0.0263157894736842,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"CNS-GBM",41,1,0.024390243902439,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Kidney-ChRCC",45,1,0.0222222222222222,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Kidney-RCC",143,3,0.020979020979021,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Lung-SCC",48,1,0.0208333333333333,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Thy-AdenoCA",48,1,0.0208333333333333,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Panc-Endocrine",85,1,0.0117647058823529,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Lymph-CLL",95,1,0.0105263157894737,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Breast-AdenoCA",198,1,0.00505050505050505,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Prost-AdenoCA",210,1,0.00476190476190476,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Biliary-AdenoCA",33,0,0,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Bone-Benign",16,0,0,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Breast-DCIS",3,0,0,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Breast-LobularCA",13,0,0,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
"Cervix-AdenoCA",2,0,0,0.0274285714285714,"GammadeltaTcells","pos","Response To Type I Interferon","Response to Type I Interferon"
