"id","HumanGene"
"Agtr2","AGTR2"
"Agtrap","AGTRAP"
"Agxt","AGXT"
"Nr0b1","NR0B1"
"Ahcyl","AHCY"
"Ahr","AHR"
"Ahrr","AHRR"
"Ahsg","AHSG"
"Aicda","AICDA"
"Aif1","AIF1"
"Crybg1","CRYBG1"
"Aip","AIP"
"Aire","AIRE"
"Ak1","AK1"
"Ak2","AK2"
"Ak4","AK4"
"Akap1","AKAP1"
"Akap3","AKAP3"
"Akap4","AKAP4"
"Alpl","ALPL"
"Akp3","ALPI"
"Alppl2","ALPPL2"
"Akt1","AKT1"
"Akt2","AKT2"
"Alas1","ALAS1"
"Alas2","ALAS2"
"Alb","ALB"
"Alcam","ALCAM"
"Abcd1","ABCD1"
"Aldh1a1","ALDH1A1"
"Aldh2","ALDH2"
"Aldh3a1","ALDH3A1"
"Aldh3a2","ALDH3A2"
"Aldoa","ALDOA"
"Aldoc","ALDOC"
"Akr1b1","AKR1B1"
"Alk","ALK"
"Alox12","ALOX12"
"Alox12b","ALOX12B"
"Alox15","ALOX15"
"Alox8","ALOX15B"
"Alox5","ALOX5"
"Alox5ap","ALOX5AP"
"Gfer","GFER"
"Alx3","ALX3"
"Alx4","ALX4"
"Ambn","AMBN"
"Ambp","AMBP"
"Amd1","AMD1"
"Amelx","AMELX"
"Amh","AMH"
"Ampd3","AMPD3"
"Mat1a","MAT1A"
"Amy1","AMY2A"
"Ang","ANG"
"Ang3","ANG"
"Ang2","ANG"
"Ank","ANKH"
"Ank1","ANK1"
"Ank3","ANK3"
"Ankfy1","ANKFY1"
"Anp32a","ANP32A"
"Slc25a4","SLC25A4"
"Slc25a5","SLC25A5"
"Anxa11","ANXA11"
"Anxa3","ANXA3"
"Anxa4","ANXA4"
"Anxa5","ANXA5"
"Anxa6","ANXA6"
"Anxa7","ANXA7"
"Anxa8","ANXA8L1"
"Aoc3","AOC3"
"Prdx3","PRDX3"
"Prdx6","PRDX6"
"Aox1","AOX1"
"Ap1b1","AP1B1"
"Ap1g1","AP1G1"
"Ap1g2","AP1G2"
"Ap1m1","AP1M1"
"Ap1m2","AP1M2"
"Ap1s1","AP1S1"
"Fabp4","FABP4"
"Ap2a1","AP2A1"
"Ap2a2","AP2A2"
"Ap2m1","AP2M1"
"Ap3b1","AP3B1"
"Ap3b2","AP3B2"
"Ap3d1","AP3D1"
"Ap3s1","AP3S1"
"Ap3s2","AP3S2"
"Ap4m1","AP4M1"
"Ap4s1","AP4S1"
"Apaf1","APAF1"
"Apba2","APBA2"
"Apbb1","APBB1"
"Apbb2","APBB2"
"Apc","APC"
"Speg","SPEG"
"Apex1","APEX1"
"Atg5","ATG5"
"Birc3","BIRC3"
"Birc2","BIRC2"
"Xiap","XIAP"
"Birc5","BIRC5"
"Api5","API5"
"Cd5l","CD5L"
"Aplp1","APLP1"
"Aplp2","APLP2"
"Apoa1","APOA1"
"Apoa2","APOA2"
"Apoa4","APOA4"
"Apobec1","APOBEC1"
"Apobec2","APOBEC2"
"Apoc1","APOC1"
"Apoc2","APOC2"
"Apoc3","APOC3"
"Apod","APOD"
"Apoe","APOE"
"Apoh","APOH"
"Nr2f2","NR2F2"
"App","APP"
"Aprt","APRT"
"Aqp1","AQP1"
"Aqp2","AQP2"
"Aqp3","AQP3"
"Aqp4","AQP4"
"Aqp5","AQP5"
"Aqp6","AQP6"
"Aqp7","AQP7"
"Aqp8","AQP8"
"Aqr","AQR"
"Ar","AR"
"Araf","ARAF"
"Rplp0","RPLP0"
"Arc","ARC"
"Areg","AREG"
"Arf1","ARF1"
"Arf2","ARF1"
"Arf3","ARF3"
"Arf4","ARF4"
"Arf5","ARF5"
"Arf6","ARF6"
"Arg1","ARG1"
"Arg2","ARG2"
"Rhoa","RHOA"
"Rhob","RHOB"
"Rhoc","RHOC"
"Rhod","RHOD"
"Arhgap5","ARHGAP5"
"Arhgap6","ARHGAP6"
"Arhgdib","ARHGDIB"
"Rnd2","RND2"
"Phox2a","PHOX2A"
"Arl4a","ARL4A"
"Arnt","ARNT"
"Arnt2","ARNT2"
"Arpc1b","ARPC1B"
"Art1","ART1"
"Art2b","ART2BP"
"Art5","ART5"
"Artn","ARTN"
"Arvcf","ARVCF"
"Arx","ARX"
"Arsb","ARSB"
"Arsa","ARSA"
"Asah1","ASAH1"
"Asgr1","ASGR1"
"Asgr2","ASGR2"
"Rab27a","RAB27A"
"Ass1","ASS1"
"Astn1","ASTN1"
"Serpinc1","SERPINC1"
"Zfhx3","ZFHX3"
"Ate1","ATE1"
"Atf1","ATF1"
"Atf2","ATF2"
"Atf3","ATF3"
"Atf4","ATF4"
"Atm","ATM"
"Atoh1","ATOH1"
"Neurod6","NEUROD6"
"Neurod4","NEUROD4"
"Neurog2","NEUROG2"
"Neurog3","NEUROG3"
"Atox1","ATOX1"
"Atp1a1","ATP1A1"
"Atp1b1","ATP1B1"
"Atp1b2","ATP1B2"
"Atp1b3","ATP1B3"
"Fxyd2","FXYD2"
"Atp2a1","ATP2A1"
"Atp2a2","ATP2A2"
"Atp2b2","ATP2B2"
"Atp4a","ATP4A"
"Atp4b","ATP4B"
"Atp5pb","ATP5PB"
"Atp6v1a","ATP6V1A"
"Atp6v1b2","ATP6V1B2"
"Atp6v0d1","ATP6V0D1"
"Atp6v1e1","ATP6V1E1"
"Atp6v0e","ATP6V0E1"
"Atp6v0a1","ATP6V0A1"
"Atp7a","ATP7A"
"Atp7b","ATP7B"
"Atp8a1","ATP8A1"
"Atp9a","ATP9A"
"Atp10a","ATP10A"
"Atp6v0c","ATP6V0C"
"Slc7a1","SLC7A1"
"Slc7a2","SLC7A2"
"Slc7a3","SLC7A3"
"Atrn","ATRN"
"Hnrnpd","HNRNPD"
"Auh","AUH"
"Aup1","AUP1"
"Pcdh15","PCDH15"
"Akr1b7","AKR1B10"
"Avp","AVP"
"Avpr2","AVPR2"
"Axin1","AXIN1"
"Axin2","AXIN2"
"Azgp1","AZGP1"
"Cep131","CEP131"
"B2m","B2M"
"Baat","BAAT"
"Bach1","BACH1"
"Bach2","BACH2"
"Bad","BAD"
"Bag1","BAG1"
"Bak1","BAK1"
"Nkx3-2","NKX3-2"
"Bard1","BARD1"
"Barx1","BARX1"
"Barx2","BARX2"
"Bax","BAX"
"Bcl6b","BCL6B"
"Bcan","BCAN"
"Bcap29","BCAP29"
"Phb2","PHB2"
"Bcat1","BCAT1"
"Bcat2","BCAT2"
"Bche","BCHE"
"Bckdha","BCKDHA"
"Bckdhb","BCKDHB"
"Bckdk","BCKDK"
"Bcl10","BCL10"
"Bcl2","BCL2"
"Bcl2a1a","BCL2A1"
"Bcl2a1b","BCL2A1"
"Bcl2a1c","BCL2A1"
"Bcl2a1d","BCL2A1"
"Bcl2l1","BCL2L1"
"Bcl2l10","BCL2L10"
"Bcl2l2","BCL2L2"
"Bcl3","BCL3"
"Bcl6","BCL6"
"Bcl7b","BCL7B"
"Bcl7c","BCL7C"
"Opn1sw","OPN1SW"
"Bdkrb1","BDKRB1"
"Bdkrb2","BDKRB2"
"Bdnf","BDNF"
"Bet1","BET1"
"Bex2","BEX1"
"Bex3","BEX3"
"Bfsp1","BFSP1"
"Glb1","GLB1"
"Bglap3","BGLAP"
"Bglap","BGLAP"
"Bglap2","BGLAP"
"Bgn","BGN"
"Bhmt","BHMT"
"Bicd1","BICD1"
"Bid","BID"
"Hrk","HRK"
"Bik","BIK"
"Bcl2l11","BCL2L11"
"Fabp7","FABP7"
"Prdm1","PRDM1"
"Blk","BLK"
"Blm","BLM"
"Cxcr5","CXCR5"
"Bmi1","COMMD3-BMI1"
"Bmp1","BMP1"
"Bmp10","BMP10"
"Bmp15","BMP15"
"Bmp2","BMP2"
"Bmp4","BMP4"
"Bmp5","BMP5"
"Bmp6","BMP6"
"Bmp7","BMP7"
"Bmp8a","BMP8A"
"Bmp8b","BMP8B"
"Gdf2","GDF2"
"Bmpr1a","BMPR1A"
"Bmpr1b","BMPR1B"
"Bmpr2","BMPR2"
"Bmx","BMX"
"Bnc1","BNC1"
"Bnip2","BNIP2"
"Bnip3","BNIP3"
"Bnip3l","BNIP3L"
"Smyd1","SMYD1"
"Bop1","BOP1"
"Bst1","BST1"
"Bpgm","BPGM"
"Brca1","BRCA1"
"Brca2","BRCA2"
"Zfp36l1","ZFP36L1"
"Zfp36l2","ZFP36L2"
"Brs3","BRS3"
"Birc6","BIRC6"
"Chic1","CHIC1"
"Bsg","BSG"
"Bsn","BSN"
"Btc","BTC"
"Klf5","KLF5"
"Btg1","BTG1"
"Btg2","BTG2"
"Btg3","BTG3"
"Btk","BTK"
"Btn1a1","BTN1A1"
"Btrc","BTRC"
"Bub1","BUB1"
"Bub1b","BUB1B"
"Bub3","BUB3"
"Commd3","COMMD3"
"Tspo","TSPO"
"Serping1","SERPING1"
"C1qa","C1QA"
"C1qb","C1QB"
"C1qbp","C1QBP"
"C1qc","C1QC"
"C2","C2"
"Ciita","CIITA"
"C3","C3"
"C3ar1","C3AR1"
"C4b","C4B"
"C4bp","C4BPA"
"C5ar1","C5AR1"
"C6","C6"
"C9","C9"
"Hyou1","HYOU1"
"Cab39","CAB39"
"Cacna1a","CACNA1A"
"Cacna1b","CACNA1B"
"Cacna1c","CACNA1C"
"Cacna1d","CACNA1D"
"Cacna1e","CACNA1E"
"Cacna1g","CACNA1G"
"Cacna1s","CACNA1S"
"Cacna2d1","CACNA2D1"
"Cacna2d3","CACNA2D3"
"Cacnb1","CACNB1"
"Cacnb2","CACNB2"
"Cacnb3","CACNB3"
"Cacnb4","CACNB4"
"Cacng1","CACNG1"
"Cacng2","CACNG2"
"Cacybp","CACYBP"
"Pdia4","PDIA4"
"Ddr1","DDR1"
"Anxa2","ANXA2"
"Calb1","CALB1"
"Calb2","CALB2"
"S100g","S100G"
"Calca","CALCB"
"Calcr","CALCR"
"Calm1","CALM1"
"Calm2","CALM2"
"Calm3","CALM1"
"Aspm","ASPM"
"Calr","CALR"
"Car8","CA8"
"Calu","CALU"
"Camk2a","CAMK2A"
"Camk2b","CAMK2B"
"Camk2g","CAMK2G"
"Camk4","CAMK4"
"Caml","CAMLG"
"Canx","CANX"
"Cap1","CAP1"
"Capg","CAPG"
"Capn1","CAPN1"
"Capn2","CAPN2"
"Capn3","CAPN3"
"Capns1","CAPNS1"
"Capn5","CAPN5"
"Capn6","CAPN6"
"Capn7","CAPN7"
"Capza1","CAPZA1"
"Capza2","CAPZA2"
"Capza3","CAPZA3"
"Capzb","CAPZB"
"Car1","CA1"
"Car11","CA11"
"Car2","CA2"
"Car3","CA3"
"Car4","CA4"
"Car5a","CA5A"
"Car6","CA6"
"Car7","CA7"
"Nr1i3","NR1I3"
"Cat","CAT"
"Cask","CASK"
"Casp1","CASP1"
"Casp4","CASP4"
"Casp12","CASP12"
"Casp14","CASP14"
"Casp2","CASP2"
"Casp3","CASP3"
"Casp6","CASP6"
"Casp7","CASP7"
"Casp8","CASP8"
"Casp9","CASP9"
"Casq1","CASQ1"
"Casq2","CASQ2"
"Casr","CASR"
"Cast","CAST"
"Ctnna1","CTNNA1"
"Ctnna2","CTNNA2"
"Ctnnb1","CTNNB1"
"Ctnnd1","CTNND1"
"Cav1","CAV1"
"Cav2","CAV2"
"Cav3","CAV3"
"Runx2","RUNX2"
"Runx1","RUNX1"
"Runx1t1","RUNX1T1"
"Cbfa2t2","CBFA2T2"
"Cbfa2t3","CBFA2T3"
"Runx3","RUNX3"
"Cbfb","CBFB"
"Serpina6","SERPINA6"
"Cbl","CBL"
"Cbln1","CBLN1"
"Cbln2","CBLN2"
"Serpinh1","SERPINH1"
"Cbr1","CBR1"
"Cbs","CBS"
"Cbx1","CBX1"
"Cbx2","CBX2"
"Cbx3","CBX3"
"Cbx4","CBX4"
"Cbx5","CBX5"
"Rb1cc1","RB1CC1"
"Cck","CCK"
"Cckar","CCKAR"
"Cckbr","CCKBR"
"Ccna1","CCNA1"
"Ccna2","CCNA2"
"Ccnb2","CCNB2"
"Ccnd1","CCND1"
"Ccnd2","CCND2"
"Ccnd3","CCND3"
"Ccne1","CCNE1"
"Ccne2","CCNE2"
"Ccnf","CCNF"
"Ccng1","CCNG1"
"Ccng2","CCNG2"
"Ccni","CCNI"
"Ccnk","CCNK"
"Ccnt1","CCNT1"
"Noct","NOCT"
"Ccr6","CCR6"
"Ccs","CCS"
"Cct2","CCT2"
"Cct3","CCT3"
"Cct4","CCT4"
"Cct5","CCT5"
"Cct6a","CCT6A"
"Cct6b","CCT6B"
"Cct7","CCT7"
"Cct8","CCT8"
"Cd14","CD14"
"Cd151","CD151"
"Ctla4","CTLA4"
"Cd19","CD19"
"Cd1d1","CD1D"
"Cd1d2","CD1D"
"Cd2","CD2"
"Ms4a1","MS4A1"
"Cd22","CD22"
"Cd24a","CD24"
"Cd28","CD28"
"Cd2ap","CD2AP"
"Cd33","CD33"
"Cd34","CD34"
"Cd36","CD36"
"Scarb2","SCARB2"
"Cd37","CD37"
"Cd38","CD38"
"Entpd1","ENTPD1"
"Entpd2","ENTPD2"
"Entpd6","ENTPD6"
"Entpd5","ENTPD5"
"Cd3d","CD3D"
"Cd3e","CD3E"
"Cd3g","CD3G"
"Cd247","CD247"
"Cd4","CD4"
"Cd44","CD44"
"Cd48","CD48"
"Cd5","CD5"
"Cd53","CD53"
"Cd59a","CD59"
"Cd6","CD6"
"Cd63","CD63"
"Cd68","CD68"
"Cd69","CD69"
"Cd7","CD7"
"Cd72","CD72"
"Cd79a","CD79A"
"Cd80","CD80"
"Cd81","CD81"
"Cd82","CD82"
"Cd83","CD83"
"Cd84","CD84"
"Cd86","CD86"
"Cd8a","CD8A"
"Cd8b1","CD8B"
"Cd9","CD9"
"Cdc25a","CDC25A"
"Cdc25b","CDC25B"
"Cdc25c","CDC25C"
"Cdk1","CDK1"
"Cdk11b","CDK11A"
"Cdc37","CDC37"
"Cdc42","CDC42"
"Cdc45","CDC45"
"Cdc7","CDC7"
"Arhgap31","ARHGAP31"
"Cdh1","CDH1"
"Cdh11","CDH11"
"Cdh13","CDH13"
"Cdh15","CDH15"
"Cdh16","CDH16"
"Cdh17","CDH17"
"Cdh2","CDH2"
"Cdh3","CDH3"
"Cdh4","CDH4"
"Cdh5","CDH5"
"Cdh6","CDH6"
"Cdh8","CDH8"
"Cdh9","CDH9"
"Cdk2","CDK2"
"Cdk4","CDK4"
"Cdk5","CDK5"
"Cdk5r1","CDK5R1"
"Cdk5r2","CDK5R2"
"Cdk6","CDK6"
"Cdk7","CDK7"
"Cdkn1a","CDKN1A"
"Cdkn1b","CDKN1B"
"Cdkn1c","CDKN1C"
"Cdkn2a","CDKN2A"
"Cdkn2b","CDKN2B"
"Cdkn2c","CDKN2C"
"Cdkn2d","CDKN2D"
"Cdo1","CDO1"
"Cdr2","CDR2"
"Mia","MIA"
"Ift81","IFT81"
"Cdx1","CDX1"
"Cdx2","CDX2"
"Cdx4","CDX4"
"Cdyl","CDYL"
"Cebpa","CEBPA"
"Cebpz","CEBPZ"
"Cebpb","CEBPB"
"Cebpd","CEBPD"
"Cebpg","CEBPG"
"Cel","CEL"
"Celsr1","CELSR1"
"Cenpa","CENPA"
"Cenpb","CENPB"
"Cenpc1","CENPC"
"Cer1","CER1"
"Ces1g","CES1"
"Cetn3","CETN3"
"Cfc1","CFC1B"
"Cfh","CFH"
"Cfi","CFI"
"Cfl1","CFL1"
"Cfl2","CFL2"
"Cflar","CFLAR"
"Cftr","CFTR"
"Cga","CGA"
"Ch25h","CH25H"
"Chad","CHAD"
"Chat","CHAT"
"Chd1","CHD1"
"Chek1","CHEK1"
"Chkb","CHKB"
"Chga","CHGA"
"Chgb","CHGB"
"Chi3l1","CHI3L1"
"Chil3","CHIA"
"Ovgp1","OVGP1"
"Chka","CHKA"
"Chl1","CHL1"
"Chm","CHM"
"Chml","CHML"
"Chrd","CHRD"
"Chrm1","CHRM1"
"Chrm3","CHRM3"
"Chrm4","CHRM4"
"Chuk","CHUK"
"Vsx2","VSX2"
"Cidea","CIDEA"
"Cideb","CIDEB"
"Elovl3","ELOVL3"
"Patj","PATJ"
"Cirbp","CIRBP"
"Cish","CISH"
"Socs3","SOCS3"
"Socs1","SOCS1"
"Cit","CIT"
"Cited1","CITED1"
"Ckb","CKB"
"Ckm","CKM"
"Ckmt1","CKMT1B"
"Coro1a","CORO1A"
"Clcn1","CLCN1"
"Clcn2","CLCN2"
"Clcn3","CLCN3"
"Clcn4","CLCN4"
"Clcn5","CLCN5"
"Clns1a","CLNS1A"
"Clcnka","CLCNKB"
"Cldn1","CLDN1"
"Cldn2","CLDN2"
"Cldn3","CLDN3"
"Cldn4","CLDN4"
"Cldn5","CLDN5"
"Clgn","CLGN"
"Clk1","CLK1"
"Clk2","CLK2"
"Clk4","CLK4"
"Tpp1","TPP1"
"Cln3","CLN3"
"Clock","CLOCK"
"Clta","CLTA"
"Clu","CLU"
"Cmah","CMAHP"
"Cmas","CMAS"
"Cxcr2","CXCR2"
"Cxcr3","CXCR3"
"Cxcr4","CXCR4"
"Ccr1","CCR1"
"Ccr9","CCR9"
"Ccr1l1","CCR1"
"Ccr3","CCR3"
"Ccr2","CCR2"
"Ccr4","CCR4"
"Ccr5","CCR5"
"Ccr7","CCR7"
"Ccr8","CCR8"
"Ccr10","CCR10"
"Ackr3","ACKR3"
"Abcc2","ABCC2"
"Cnbp","CNBP"
"Cnga1","CNGA1"
"Cnga2","CNGA2"
"Cnga3","CNGA3"
"Cnih1","CNIH1"
"Cnih2","CNIH2"
"Plk3","PLK3"
"Camp","CAMP"
"Cnn1","CNN1"
"Cnn2","CNN2"
"Cnp","CNP"
"Cnr1","CNR1"
"Cnr2","CNR2"
"Cntf","CNTF"
"Cntfr","CNTFR"
"Cntn1","CNTN1"
"Hps3","HPS3"
"Cobl","COBL"
"Coch","COCH"
"Coil","COIL"
"Col10a1","COL10A1"
"Col11a1","COL11A1"
"Col11a2","COL11A2"
"Col12a1","COL12A1"
"Col13a1","COL13A1"
"Col14a1","COL14A1"
"Col15a1","COL15A1"
"Col17a1","COL17A1"
"Col18a1","COL18A1"
"Col19a1","COL19A1"
"Col2a1","COL2A1"
"Col3a1","COL3A1"
"Col4a1","COL4A1"
"Col4a2","COL4A2"
"Col4a3","COL4A3"
"Col4a4","COL4A4"
"Col4a5","COL4A5"
"Col5a1","COL5A1"
"Col5a2","COL5A2"
"Col6a1","COL6A1"
"Col6a2","COL6A2"
"Col6a3","COL6A3"
"Col7a1","COL7A1"
"Col8a1","COL8A1"
"Col9a1","COL9A1"
"Col9a2","COL9A2"
"Col9a3","COL9A3"
"Col1a1","COL1A1"
"Col1a2","COL1A2"
"Comp","COMP"
"Comt","COMT"
"Copa","COPA"
"Cops2","COPS2"
"Coq7","COQ7"
"Cort","CORT"
"Cox17","COX17"
"Cox4i1","COX4I1"
"Cox5a","COX5A"
"Cox5b","COX5B"
"Cox6a1","COX6A1"
"Cox6a2","COX6A2"
"Cox6c","COX6C"
"Cox7a1","COX7A1"
"Cox7a2","COX7A2"
"Cox7c","COX7C"
"Cox8a","COX8A"
"Cox8b","COX8BP"
"Cp","CP"
"Cpa3","CPA3"
"Cpd","CPD"
"Cpe","CPE"
"Cpeb1","CPEB1"
"Cys1","CYS1"
"Cplx1","CPLX1"
"Cplx2","CPLX2"
"Cpne6","CPNE6"
"Cpox","CPOX"
"Cpt1a","CPT1A"
"Cpt1b","CPT1B"
"Cpt2","CPT2"
"Cr2","CR2"
"Crabp1","CRABP1"
"Crabp2","CRABP2"
"Cradd","CRADD"
"Crat","CRAT"
"Crcp","CRCP"
"Creb1","CREB1"
"Creb3","CREB3"
"Crebbp","CREBBP"
"Atf6b","ATF6B"
"Crem","CREM"
"Crh","CRH"
"Crhbp","CRHBP"
"Crhr1","CRHR1"
"Crhr2","CRHR2"
"Crip1","CRIP1"
"Bcar1","BCAR1"
"Crk","CRK"
"Crkl","CRKL"
"Crlf1","CRLF1"
"Crmp1","CRMP1"
"Dpysl2","DPYSL2"
"Pcdha4","PCDHA4"
"Pcdha6","PCDHA6"
"Pcdha7","PCDHA7"
"Pcdha5","PCDHA5"
"Pcdha11","PCDHA11"
"Pcdha10","PCDHA10"
"Crp","CRP"
"Dmbt1","DMBT1"
"Cr1l","CR1L"
"Hapln1","HAPLN1"
"Crx","CRX"
"Cry1","CRY1"
"Cry2","CRY2"
"Cryaa","CRYAA"
"Cryab","CRYAB"
"Cryba1","CRYBA1"
"Cryba2","CRYBA2"
"Cryba4","CRYBA4"
"Crybb1","CRYBB1"
"Crybb2","CRYBB2"
"Crybb3","CRYBB3"
"Cryga","CRYGA"
"Crygb","CRYGB"
"Crygc","CRYGC"
"Crygd","CRYGD"
"Cryge","CRYGD"
"Crygf","CRYGD"
"Crygs","CRYGS"
"Crym","CRYM"
"Cryz","CRYZ"
"Cs","CS"
"Csf1","CSF1"
"Csf1r","CSF1R"
"Csf2","CSF2"
"Csf2ra","CSF2RA"
"Csf2rb","CSF2RB"
"Csf2rb2","CSF2RB"
"Csf3","CSF3"
"Csf3r","CSF3R"
"Csk","CSK"
"Csn1s1","CSN1S1"
"Csn2","CSN2"
"Csn1s2b","CSN1S2BP"
"Csn1s2a","CSN1S2AP"
"Csn3","CSN3"
"Csnk2a1","CSNK2A1"
"Csnk2a2","CSNK2A2"
"Csnk2b","CSNK2B"
"Dnajc5","DNAJC5"
"Vcan","VCAN"
"Ncan","NCAN"
"Smc3","SMC3"
"Csrp1","CSRP1"
"Csrp2","CSRP2"
"Csrp3","CSRP3"
"Cst3","CST3"
"Cst7","CST7"
"Cst8","CST8"
"Cst9","CST9L"
"Cstb","CSTB"
"Ctbp1","CTBP1"
"Ctbp2","CTBP2"
"Ctcf","CTCF"
"Ctf1","CTF1"
"Pcyt1a","PCYT1A"
"Ctsb","CTSB"
"Ctsc","CTSC"
"Ctsd","CTSD"
"Ctse","CTSE"
"Ctsg","CTSG"
"Ctsh","CTSH"
"Ctsk","CTSK"
"Ctsl","CTSV"
"Ctss","CTSS"
"Ctsw","CTSW"
"Cttn","CTTN"
"Celf1","CELF1"
"Cux1","CUX1"
"Cux2","CUX2"
"Cx3cr1","CX3CR1"
"Cxadr","CXADR"
"Cyb561","CYB561"
"Cyba","CYBA"
"Cybb","CYBB"
"Cycs","CYCS"
"Cyct","CYCTP"
"Cyp11a1","CYP11A1"
"Cyp11b2","CYP11B1"
"Cyp17a1","CYP17A1"
"Cyp19a1","CYP19A1"
"Cyp1a1","CYP1A1"
"Cyp1a2","CYP1A2"
"Cyp1b1","CYP1B1"
"Cyp21a1","CYP21A2"
"Cyp24a1","CYP24A1"
"Cyp26a1","CYP26A1"
"Cyp2a12","CYP2A13"
"Cyp2a4","CYP2A6"
"Cyp2a5","CYP2A6"
"Cyp2b10","CYP2B6"
"Cyp2b13","CYP2B6"
"Cyp2b19","CYP2B6"
"Cyp2b9","CYP2B6"
"Cyp2c29","CYP2C8"
"Cyp2c37","CYP2C19"
"Cyp2c38","CYP2C8"
"Cyp2c39","CYP2C8"
"Cyp2c40","CYP2C19"
"Cyp2d10","CYP2D6"
"Cyp2d9","CYP2D6"
"Cyp2e1","CYP2E1"
"Cyp2f2","CYP2F1"
"Cyp2g1","CYP2G1P"
"Cyp2j5","CYP2J2"
"Cyp2j6","CYP2J2"
"Cyp3a11","CYP3A5"
"Cyp3a13","CYP3A7"
"Cyp3a16","CYP3A5"
"Cyp27b1","CYP27B1"
"Cyp46a1","CYP46A1"
"Cyp4a10","CYP4A11"
"Cyp4a12b","CYP4A22"
"Cyp4a14","CYP4A11"
"Cyp4b1","CYP4B1"
"Cyp51","CYP51A1"
"Cyp7a1","CYP7A1"
"Cyp7b1","CYP7B1"
"Cyp8b1","CYP8B1"
"Dab1","DAB1"
"Dab2","DAB2"
"Dach1","DACH1"
"Dad1","DAD1"
"Cd55","CD55"
"Cd55b","CD55"
"Dag1","DAG1"
"Dgka","DGKA"
"Dao","DAO"
"Dapk2","DAPK2"
"Dapk3","DAPK3"
"Slc6a3","SLC6A3"
"Daxx","DAXX"
"Dazl","DAZ2"
"Dbh","DBH"
"Dbi","DBI"
"Dbil5","DBIL5P"
"Dbnl","DBNL"
"Dbp","DBP"
"Dbt","DBT"
"Dbx1","DBX1"
"Dclk1","DCLK1"
"Dcc","DCC"
"Eci1","ECI1"
"Dck","DCK"
"Dcn","DCN"
"Pcbd1","PCBD1"
"Vps26c","VPS26C"
"Dct","DCT"
"Dctn1","DCTN1"
"Dcx","DCX"
"Ddb1","DDB1"
"Ddc","DDC"
"Asap1","ASAP1"
